work_order_id,machine_id,maintenance_datetime,maintenance_type,issue,part_id,technician_id,downtime_hours,total_cost_usd,status
WO_00017,APU_045,2025-08-10 22:32:00,Preventive,Dryer Valve Fault,PART_0277,TECH_0121,1.56,804.72,Monitoring
WO_00018,APU_016,2024-05-07 02:27:00,Preventive,Dryer Valve Fault,PART_0025,TECH_0165,3.23,467.04,Completed
WO_00019,APU_023,2024-10-31 22:48:00,Inspection,Compressor Cycling,PART_0005,TECH_0223,1.65,103.68,Completed
WO_00020,APU_049,2025-01-28 00:20:00,Preventive,Oil Level Warning,PART_0294,TECH_0181,1.25,422.62,Completed
WO_00021,APU_004,2024-05-21 01:29:00,Inspection,Compressor Cycling,PART_0059,TECH_0124,6.09,1264.35,Monitoring
WO_00022,APU_012,2024-04-26 08:00:00,Corrective,Low Pressure Switch Fault,PART_0026,TECH_0040,2.4,699.09,Monitoring
WO_00023,APU_022,2025-03-25 03:41:00,Corrective,Compressor Cycling,PART_0257,TECH_0040,2.82,158.83,Completed
WO_00024,APU_002,2024-12-19 05:03:00,Corrective,Abnormal Motor Current,PART_0291,TECH_0095,1.24,625.49,Monitoring
WO_00025,APU_027,2024-05-24 17:25:00,Corrective,Oil Level Warning,PART_0186,TECH_0192,2.01,991.11,Completed
WO_00026,APU_048,2024-10-27 10:37:00,Corrective,Reservoir Pressure Fluctuation,PART_0112,TECH_0329,2.89,835.09,Monitoring
WO_00027,APU_028,2024-04-15 13:01:00,Corrective,Pressure Leak,PART_0109,TECH_0447,1.44,192.89,Monitoring
WO_00028,APU_041,2024-09-18 02:49:00,Corrective,Reservoir Pressure Fluctuation,PART_0148,TECH_0187,3.34,856.05,Completed
WO_00029,APU_009,2024-03-21 21:46:00,Preventive,Compressor Cycling,PART_0257,TECH_0422,1.95,154.44,Completed
WO_00030,APU_039,2024-04-24 04:04:00,Inspection,Compressor Cycling,PART_0095,TECH_0205,2.32,307.4,Monitoring
WO_00031,APU_038,2024-12-10 18:49:00,Corrective,Reservoir Pressure Fluctuation,PART_0256,TECH_0254,1.95,343.13,Completed
WO_00032,APU_021,2024-11-12 05:02:00,Inspection,Reservoir Pressure Fluctuation,PART_0130,TECH_0484,7.53,1048.61,Completed
WO_00033,APU_003,2024-01-30 04:04:00,Corrective,Dryer Valve Fault,PART_0277,TECH_0474,2.7,833.08,Monitoring
WO_00034,APU_029,2024-12-26 15:44:00,Corrective,High Oil Temperature,PART_0128,TECH_0080,1.52,793.29,Monitoring
WO_00035,APU_009,2024-09-17 23:35:00,Corrective,Reservoir Pressure Fluctuation,PART_0166,TECH_0207,4.27,724.45,Monitoring
WO_00036,APU_011,2025-05-27 03:08:00,Corrective,Compressor Cycling,PART_0257,TECH_0029,1.39,161.92,Completed
WO_00037,APU_012,2025-07-29 03:46:00,Corrective,Dryer Valve Fault,PART_0205,TECH_0450,3.05,483.14,Completed
WO_00038,APU_045,2024-08-30 09:57:00,Preventive,Dryer Valve Fault,PART_0295,TECH_0017,0.93,428.95,Completed
WO_00039,APU_040,2024-09-01 10:41:00,Corrective,High Oil Temperature,PART_0020,TECH_0366,1.31,957.24,Completed
WO_00040,APU_040,2024-01-30 18:19:00,Preventive,Low Pressure Switch Fault,PART_0206,TECH_0326,3.03,413.3,Completed
WO_00041,APU_009,2024-08-31 21:19:00,Corrective,Reservoir Pressure Fluctuation,PART_0130,TECH_0432,4.08,594.77,Completed
WO_00042,APU_021,2024-09-13 20:04:00,Corrective,Reservoir Pressure Fluctuation,PART_0148,TECH_0405,2.99,889.4,Completed
WO_00043,APU_023,2024-11-25 10:26:00,Corrective,Oil Level Warning,PART_0276,TECH_0454,2.55,456.4,Completed
WO_00044,APU_040,2024-09-25 01:48:00,Corrective,Low Pressure Switch Fault,PART_0044,TECH_0160,2.3,349.42,Completed
WO_00045,APU_012,2024-07-28 23:40:00,Corrective,Dryer Valve Fault,PART_0043,TECH_0096,1.21,154.39,Completed
WO_00046,APU_010,2024-05-28 17:38:00,Inspection,Low Pressure Switch Fault,PART_0296,TECH_0017,1.83,260.47,Completed
WO_00047,APU_023,2024-11-01 22:18:00,Corrective,Low Pressure Switch Fault,PART_0260,TECH_0017,2.11,997.8,Completed
WO_00048,APU_027,2025-02-25 09:35:00,Preventive,Oil Level Warning,PART_0186,TECH_0272,4.86,1130.7,Monitoring
WO_00049,APU_020,2025-02-17 01:26:00,Corrective,Low Pressure Switch Fault,PART_0080,TECH_0273,3.28,294.13,Monitoring
WO_00050,APU_019,2025-07-14 12:21:00,Corrective,Oil Level Warning,PART_0024,TECH_0123,1.03,402.85,Completed
WO_00051,APU_046,2025-01-24 19:20:00,Preventive,Abnormal Motor Current,PART_0165,TECH_0149,3.25,309.83,Completed
WO_00052,APU_016,2024-03-26 03:16:00,Corrective,Abnormal Motor Current,PART_0021,TECH_0282,2.2,927.94,Completed
WO_00053,APU_014,2025-02-13 14:10:00,Corrective,Abnormal Motor Current,PART_0021,TECH_0282,1.87,944.64,Monitoring
WO_00054,APU_035,2024-08-07 14:08:00,Corrective,Abnormal Motor Current,PART_0057,TECH_0019,3.81,753.6,Completed
WO_00055,APU_021,2024-04-23 15:13:00,Preventive,Low Pressure Switch Fault,PART_0008,TECH_0483,4.79,406.17,Monitoring
WO_00056,APU_049,2025-02-21 18:36:00,Corrective,Compressor Cycling,PART_0077,TECH_0408,4.54,816.44,Monitoring
WO_00057,APU_009,2025-05-08 17:03:00,Preventive,Pressure Leak,PART_0055,TECH_0289,1.71,605.6,Completed
WO_00058,APU_023,2024-03-08 08:13:00,Corrective,Low Pressure Switch Fault,PART_0188,TECH_0041,2.29,503.29,Completed
WO_00059,APU_013,2024-01-17 10:03:00,Preventive,Compressor Cycling,PART_0041,TECH_0490,3.26,1025.81,Completed
WO_00060,APU_013,2024-12-23 03:30:00,Inspection,Dryer Valve Fault,PART_0187,TECH_0475,4.65,1062.51,Completed
WO_00061,APU_010,2025-06-05 08:22:00,Corrective,Dryer Valve Fault,PART_0241,TECH_0347,2.09,856.35,Completed
WO_00062,APU_020,2024-11-20 11:00:00,Corrective,Oil Level Warning,PART_0042,TECH_0179,2.45,1074.28,Monitoring
WO_00063,APU_019,2024-04-29 06:26:00,Preventive,Low Pressure Switch Fault,PART_0242,TECH_0377,1.48,747.65,Completed
WO_00064,APU_014,2024-08-08 19:20:00,Inspection,Abnormal Motor Current,PART_0273,TECH_0303,1.41,474.71,Monitoring
WO_00065,APU_001,2024-10-25 03:50:00,Corrective,High Oil Temperature,PART_0146,TECH_0428,4.25,817.97,Completed
WO_00066,APU_012,2025-08-29 01:12:00,Corrective,Reservoir Pressure Fluctuation,PART_0220,TECH_0262,5.73,1136.18,Completed
WO_00067,APU_032,2025-02-11 06:08:00,Corrective,Compressor Cycling,PART_0257,TECH_0203,2.61,140.26,Completed
WO_00068,APU_041,2025-08-30 11:27:00,Inspection,Compressor Cycling,PART_0275,TECH_0097,4.72,545.03,Monitoring
WO_00069,APU_032,2025-05-15 20:55:00,Corrective,Abnormal Motor Current,PART_0129,TECH_0020,3.32,348.59,Completed
WO_00070,APU_038,2024-12-15 21:05:00,Corrective,Oil Level Warning,PART_0240,TECH_0207,1.91,663.49,Completed
WO_00071,APU_033,2025-06-17 17:21:00,Corrective,Oil Level Warning,PART_0006,TECH_0207,3.32,941.84,Completed
WO_00072,APU_045,2024-04-08 15:59:00,Corrective,Low Pressure Switch Fault,PART_0206,TECH_0135,6.33,518.99,Completed
WO_00073,APU_019,2024-07-31 09:11:00,Preventive,Pressure Leak,PART_0289,TECH_0059,2.67,388.65,Completed
WO_00074,APU_039,2025-07-02 01:08:00,Preventive,High Oil Temperature,PART_0092,TECH_0324,6.43,862.18,Completed
WO_00075,APU_044,2025-05-23 05:51:00,Corrective,Compressor Cycling,PART_0203,TECH_0068,0.64,228.06,Completed
WO_00076,APU_009,2025-01-12 07:41:00,Corrective,Pressure Leak,PART_0163,TECH_0353,4.27,396.11,Completed
WO_00077,APU_014,2024-04-22 13:02:00,Preventive,High Oil Temperature,PART_0290,TECH_0211,2.85,895.4,Completed
WO_00078,APU_030,2024-02-25 15:11:00,Corrective,Dryer Valve Fault,PART_0061,TECH_0125,2.31,798.59,Completed
WO_00079,APU_009,2025-08-17 22:47:00,Corrective,Oil Level Warning,PART_0258,TECH_0486,2.86,439.87,Completed
WO_00080,APU_048,2025-08-16 03:42:00,Preventive,Pressure Leak,PART_0055,TECH_0217,0.91,581.34,Completed
WO_00081,APU_009,2024-06-01 19:14:00,Preventive,Compressor Cycling,PART_0077,TECH_0059,2.41,716.2,Completed
WO_00082,APU_002,2025-07-18 02:43:00,Corrective,High Oil Temperature,PART_0272,TECH_0441,3.31,435.44,Completed
WO_00083,APU_008,2024-07-03 05:42:00,Corrective,Low Pressure Switch Fault,PART_0026,TECH_0045,6.13,844.71,Completed
WO_00084,APU_039,2024-05-29 13:38:00,Corrective,High Oil Temperature,PART_0110,TECH_0173,2.04,746.67,Completed
WO_00085,APU_038,2024-09-10 06:53:00,Preventive,Compressor Cycling,PART_0203,TECH_0142,1.74,323.86,Completed
WO_00086,APU_007,2025-08-19 19:18:00,Inspection,High Oil Temperature,PART_0002,TECH_0204,2.06,306.61,Completed
WO_00087,APU_047,2024-03-12 20:39:00,Corrective,Pressure Leak,PART_0109,TECH_0474,4.5,478.71,Completed
WO_00088,APU_044,2024-03-19 03:37:00,Corrective,Low Pressure Switch Fault,PART_0098,TECH_0318,3.26,645.77,Completed
WO_00089,APU_008,2025-07-08 10:35:00,Corrective,Dryer Valve Fault,PART_0187,TECH_0119,2.03,798.76,Monitoring
WO_00090,APU_046,2024-07-28 21:54:00,Corrective,Oil Level Warning,PART_0024,TECH_0068,3.6,533.67,Completed
WO_00091,APU_039,2025-06-20 01:34:00,Corrective,Low Pressure Switch Fault,PART_0170,TECH_0399,2.87,296.97,Monitoring
WO_00092,APU_005,2025-09-04 10:33:00,Inspection,Reservoir Pressure Fluctuation,PART_0274,TECH_0326,4.63,1086.64,Monitoring
WO_00093,APU_026,2024-11-14 23:37:00,Corrective,High Oil Temperature,PART_0290,TECH_0080,1.85,752.93,Completed
WO_00094,APU_005,2024-09-21 20:17:00,Preventive,Abnormal Motor Current,PART_0111,TECH_0307,2.27,382.36,Monitoring
WO_00095,APU_015,2025-09-02 07:01:00,Preventive,High Oil Temperature,PART_0236,TECH_0497,2.19,602.33,Completed
WO_00096,APU_023,2024-12-12 11:40:00,Corrective,Dryer Valve Fault,PART_0223,TECH_0461,1.22,326.79,Monitoring
WO_00097,APU_008,2024-07-01 13:07:00,Inspection,High Oil Temperature,PART_0272,TECH_0497,3.2,461.48,Completed
WO_00098,APU_048,2024-02-08 11:39:00,Inspection,High Oil Temperature,PART_0038,TECH_0497,3.14,403.74,Monitoring
WO_00099,APU_010,2024-08-08 10:59:00,Corrective,Oil Level Warning,PART_0060,TECH_0066,2.73,482.27,Monitoring
WO_00100,APU_013,2024-08-01 18:23:00,Corrective,Low Pressure Switch Fault,PART_0278,TECH_0456,2.39,886.23,Completed
WO_00101,APU_028,2024-03-27 18:01:00,Corrective,Pressure Leak,PART_0217,TECH_0444,1.25,187.65,Monitoring
WO_00102,APU_003,2024-05-08 19:00:00,Corrective,Pressure Leak,PART_0163,TECH_0158,2.16,209.06,Monitoring
WO_00103,APU_049,2024-03-20 15:35:00,Inspection,Low Pressure Switch Fault,PART_0278,TECH_0433,2.25,874.55,Completed
WO_00104,APU_017,2024-12-26 05:21:00,Corrective,Dryer Valve Fault,PART_0223,TECH_0333,1.75,381.21,Completed
WO_00105,APU_038,2024-02-02 20:30:00,Preventive,Pressure Leak,PART_0073,TECH_0337,2.49,329.76,Completed
WO_00106,APU_025,2024-03-11 21:18:00,Corrective,Oil Level Warning,PART_0240,TECH_0290,3.39,823.45,Completed
WO_00107,APU_016,2024-06-19 20:19:00,Preventive,Reservoir Pressure Fluctuation,PART_0166,TECH_0484,7.67,737.76,Completed
WO_00108,APU_022,2024-05-03 15:06:00,Preventive,High Oil Temperature,PART_0002,TECH_0330,2.99,271.02,Monitoring
WO_00109,APU_018,2024-01-15 20:33:00,Corrective,Dryer Valve Fault,PART_0277,TECH_0012,3.13,997.86,Monitoring
WO_00110,APU_037,2024-03-12 03:52:00,Corrective,Oil Level Warning,PART_0276,TECH_0075,2.61,481.51,Monitoring
WO_00111,APU_011,2025-03-23 16:53:00,Corrective,Oil Level Warning,PART_0168,TECH_0319,0.95,423.93,Completed
WO_00112,APU_019,2024-07-12 01:55:00,Corrective,Reservoir Pressure Fluctuation,PART_0022,TECH_0267,2.68,721.87,Completed
WO_00113,APU_046,2025-09-06 17:14:00,Preventive,High Oil Temperature,PART_0056,TECH_0337,2.81,512.08,Monitoring
WO_00114,APU_014,2024-09-09 21:47:00,Corrective,Dryer Valve Fault,PART_0043,TECH_0287,10.54,736.92,Completed
WO_00115,APU_027,2024-10-19 22:43:00,Preventive,Reservoir Pressure Fluctuation,PART_0148,TECH_0415,2.45,824.33,Completed
WO_00116,APU_041,2025-05-27 03:36:00,Corrective,Pressure Leak,PART_0289,TECH_0168,3.21,431.53,Monitoring
WO_00117,APU_041,2025-01-22 21:56:00,Corrective,Compressor Cycling,PART_0239,TECH_0047,2.67,1029.65,Completed
WO_00118,APU_010,2025-06-27 12:52:00,Inspection,Reservoir Pressure Fluctuation,PART_0166,TECH_0359,1.43,516.11,Completed
WO_00119,APU_027,2024-07-13 09:01:00,Preventive,Reservoir Pressure Fluctuation,PART_0166,TECH_0166,5.1,680.62,Monitoring
WO_00120,APU_008,2024-04-19 04:46:00,Preventive,Reservoir Pressure Fluctuation,PART_0112,TECH_0027,4.11,799.46,Monitoring
WO_00121,APU_036,2024-11-13 13:58:00,Corrective,Low Pressure Switch Fault,PART_0242,TECH_0024,4.2,874.94,Completed
WO_00122,APU_018,2025-04-24 15:06:00,Corrective,Compressor Cycling,PART_0095,TECH_0038,1.65,353.43,Completed
WO_00123,APU_006,2024-08-16 13:53:00,Corrective,Pressure Leak,PART_0163,TECH_0051,5.88,550.95,Completed
WO_00124,APU_026,2025-09-03 12:45:00,Preventive,High Oil Temperature,PART_0074,TECH_0222,1.26,515.91,Completed
WO_00125,APU_032,2024-03-06 17:12:00,Corrective,Compressor Cycling,PART_0131,TECH_0097,3.75,1042.76,Monitoring
WO_00126,APU_028,2024-06-07 17:58:00,Inspection,Reservoir Pressure Fluctuation,PART_0076,TECH_0109,9.07,455.68,Monitoring
WO_00127,APU_017,2025-03-05 05:55:00,Preventive,Dryer Valve Fault,PART_0025,TECH_0463,1.58,335.6,Completed
WO_00128,APU_035,2024-11-04 14:06:00,Inspection,Oil Level Warning,PART_0276,TECH_0200,1.99,465.5,Completed
WO_00129,APU_031,2025-06-05 03:15:00,Inspection,Oil Level Warning,PART_0204,TECH_0253,2.87,761.1,Completed
WO_00130,APU_045,2025-07-28 09:19:00,Corrective,Pressure Leak,PART_0127,TECH_0243,2.06,726.36,Completed
WO_00131,APU_035,2024-06-21 03:04:00,Inspection,High Oil Temperature,PART_0254,TECH_0397,1.16,499.73,Completed
WO_00132,APU_006,2025-08-22 01:51:00,Inspection,Compressor Cycling,PART_0131,TECH_0266,2.82,894.9,Monitoring
WO_00133,APU_050,2025-04-14 06:13:00,Corrective,Oil Level Warning,PART_0240,TECH_0023,1.52,610.7,Monitoring
WO_00134,APU_048,2024-10-27 17:01:00,Preventive,Low Pressure Switch Fault,PART_0188,TECH_0387,3.53,631.81,Completed
WO_00135,APU_033,2024-02-18 07:51:00,Preventive,Compressor Cycling,PART_0203,TECH_0386,1.64,295.33,Completed
WO_00136,APU_045,2024-01-20 21:59:00,Preventive,Low Pressure Switch Fault,PART_0026,TECH_0151,6.38,962.03,Completed
WO_00137,APU_026,2024-05-25 16:34:00,Corrective,Pressure Leak,PART_0163,TECH_0302,1.77,193.29,Completed
WO_00138,APU_039,2025-05-14 08:24:00,Inspection,Abnormal Motor Current,PART_0237,TECH_0282,2.28,186.35,Completed
WO_00139,APU_012,2025-05-15 14:21:00,Corrective,Compressor Cycling,PART_0185,TECH_0259,4.25,447.16,Completed
WO_00140,APU_025,2025-08-30 19:04:00,Inspection,Dryer Valve Fault,PART_0133,TECH_0012,1.38,412.94,Completed
WO_00141,APU_030,2024-05-24 08:57:00,Preventive,High Oil Temperature,PART_0146,TECH_0159,3.08,747.53,Completed
WO_00142,APU_006,2024-09-24 21:52:00,Corrective,Abnormal Motor Current,PART_0093,TECH_0096,5.58,414.98,Monitoring
WO_00143,APU_008,2024-06-12 11:08:00,Preventive,Low Pressure Switch Fault,PART_0116,TECH_0160,1.12,646.04,Completed
WO_00144,APU_048,2024-12-25 20:12:00,Corrective,Compressor Cycling,PART_0221,TECH_0109,3.01,736.76,Completed
WO_00145,APU_047,2025-05-08 02:43:00,Preventive,Compressor Cycling,PART_0113,TECH_0386,3.14,952.69,Completed
WO_00146,APU_017,2024-06-20 11:24:00,Preventive,Compressor Cycling,PART_0257,TECH_0230,4.18,268.96,Monitoring
WO_00147,APU_001,2024-12-07 10:18:00,Corrective,High Oil Temperature,PART_0074,TECH_0324,1.38,580.29,Completed
WO_00148,APU_046,2024-11-04 05:32:00,Corrective,Dryer Valve Fault,PART_0151,TECH_0058,1.31,312.27,Completed
WO_00149,APU_031,2024-09-14 23:52:00,Preventive,Reservoir Pressure Fluctuation,PART_0022,TECH_0019,3.62,667.19,Completed
WO_00150,APU_043,2024-09-27 01:58:00,Corrective,Dryer Valve Fault,PART_0079,TECH_0030,3.2,233.39,Monitoring
WO_00151,APU_030,2024-04-06 01:27:00,Corrective,Oil Level Warning,PART_0042,TECH_0265,3.12,1119.37,Completed
WO_00152,APU_021,2024-02-02 03:47:00,Preventive,High Oil Temperature,PART_0074,TECH_0497,3.29,723.3,Completed
WO_00153,APU_019,2024-07-10 16:02:00,Inspection,Dryer Valve Fault,PART_0151,TECH_0487,1.87,354.9,Completed
WO_00154,APU_049,2024-04-20 03:32:00,Corrective,Low Pressure Switch Fault,PART_0260,TECH_0040,3.09,1030.53,Completed
WO_00155,APU_031,2024-07-08 11:44:00,Inspection,Pressure Leak,PART_0091,TECH_0452,3.19,436.05,Monitoring
WO_00156,APU_029,2024-09-16 14:38:00,Preventive,Pressure Leak,PART_0271,TECH_0449,1.84,260.51,Completed
WO_00157,APU_023,2024-03-09 03:23:00,Corrective,High Oil Temperature,PART_0110,TECH_0281,7.59,941.08,Completed
WO_00158,APU_038,2024-01-04 00:06:00,Inspection,Reservoir Pressure Fluctuation,PART_0292,TECH_0469,3.53,321.82,Completed
WO_00159,APU_044,2024-03-09 16:06:00,Inspection,Low Pressure Switch Fault,PART_0188,TECH_0019,1.41,422.9,Completed
WO_00160,APU_024,2025-03-05 20:54:00,Corrective,Dryer Valve Fault,PART_0061,TECH_0311,3.9,777.58,Monitoring
WO_00161,APU_041,2024-07-15 02:40:00,Preventive,Low Pressure Switch Fault,PART_0008,TECH_0296,1.59,291.93,Monitoring
WO_00162,APU_047,2025-06-18 17:09:00,Preventive,Oil Level Warning,PART_0078,TECH_0178,4.19,736.33,Completed
WO_00163,APU_004,2025-06-25 14:50:00,Corrective,Oil Level Warning,PART_0042,TECH_0327,5.14,1103.06,Completed
WO_00164,APU_006,2024-01-15 22:28:00,Corrective,Dryer Valve Fault,PART_0115,TECH_0156,1.73,366.64,Completed
WO_00165,APU_020,2024-12-23 10:08:00,Preventive,High Oil Temperature,PART_0236,TECH_0316,4.62,865.64,Completed
WO_00166,APU_024,2025-01-08 07:15:00,Corrective,High Oil Temperature,PART_0110,TECH_0495,3.41,802.17,Completed
WO_00167,APU_006,2025-07-04 20:37:00,Corrective,Dryer Valve Fault,PART_0241,TECH_0347,4.27,1023.36,Monitoring
WO_00168,APU_003,2025-01-08 19:17:00,Preventive,High Oil Temperature,PART_0182,TECH_0469,7.72,706.31,Completed
WO_00169,APU_034,2025-04-03 10:21:00,Corrective,Low Pressure Switch Fault,PART_0296,TECH_0065,2.38,287.48,Monitoring
WO_00170,APU_010,2024-04-03 01:17:00,Corrective,Compressor Cycling,PART_0167,TECH_0230,1.8,321.89,Completed
WO_00171,APU_003,2025-01-08 20:34:00,Corrective,High Oil Temperature,PART_0056,TECH_0434,1.67,468.26,Completed
WO_00172,APU_017,2025-03-02 09:32:00,Preventive,Oil Level Warning,PART_0042,TECH_0454,1.74,961.69,Monitoring
WO_00173,APU_012,2025-09-05 18:55:00,Inspection,Abnormal Motor Current,PART_0219,TECH_0037,2.61,582.08,Completed
WO_00174,APU_038,2025-06-11 06:28:00,Corrective,Oil Level Warning,PART_0258,TECH_0391,3.28,447.68,Completed
WO_00175,APU_012,2024-02-26 23:00:00,Corrective,Reservoir Pressure Fluctuation,PART_0148,TECH_0109,3.17,862.77,Monitoring
WO_00176,APU_001,2024-05-05 01:17:00,Inspection,High Oil Temperature,PART_0272,TECH_0457,4.28,610.4,Monitoring
WO_00177,APU_040,2025-08-15 02:31:00,Corrective,Compressor Cycling,PART_0203,TECH_0369,2.74,394.7,Completed
WO_00178,APU_013,2024-03-22 11:48:00,Corrective,Pressure Leak,PART_0001,TECH_0169,6.05,533.06,Completed
WO_00179,APU_028,2025-09-05 04:35:00,Corrective,Reservoir Pressure Fluctuation,PART_0112,TECH_0096,2.35,722.75,Monitoring
WO_00180,APU_002,2024-03-25 19:15:00,Corrective,Dryer Valve Fault,PART_0097,TECH_0150,12.13,1573.15,Monitoring
WO_00181,APU_002,2024-11-23 07:51:00,Preventive,Low Pressure Switch Fault,PART_0134,TECH_0164,3.83,927.72,Monitoring
WO_00182,APU_022,2024-01-06 17:36:00,Preventive,Pressure Leak,PART_0055,TECH_0424,1.7,686.39,Completed
WO_00183,APU_032,2024-10-18 00:55:00,Preventive,Pressure Leak,PART_0271,TECH_0480,1.51,248.23,Monitoring
WO_00184,APU_046,2024-02-14 04:53:00,Corrective,Reservoir Pressure Fluctuation,PART_0292,TECH_0023,3.54,364.99,Completed
WO_00185,APU_042,2024-10-30 18:00:00,Inspection,Compressor Cycling,PART_0275,TECH_0089,2.4,368.9,Completed
WO_00186,APU_045,2024-11-13 15:40:00,Corrective,Low Pressure Switch Fault,PART_0008,TECH_0135,4.03,358.26,Completed
WO_00187,APU_015,2025-01-04 15:34:00,Inspection,Low Pressure Switch Fault,PART_0134,TECH_0307,3.53,1023.45,Monitoring
WO_00188,APU_019,2025-06-10 11:15:00,Preventive,Abnormal Motor Current,PART_0219,TECH_0377,2.61,679.93,Completed
WO_00189,APU_011,2025-03-28 19:28:00,Corrective,Low Pressure Switch Fault,PART_0116,TECH_0244,1.71,672.76,Monitoring
WO_00190,APU_012,2024-05-25 06:14:00,Corrective,Abnormal Motor Current,PART_0093,TECH_0456,1.18,262.99,Monitoring
WO_00191,APU_016,2024-06-01 12:06:00,Corrective,Compressor Cycling,PART_0023,TECH_0024,2.13,760.16,Completed
WO_00192,APU_033,2024-01-24 06:42:00,Preventive,Abnormal Motor Current,PART_0039,TECH_0307,4.35,427.38,Completed
WO_00193,APU_032,2024-07-06 17:46:00,Preventive,Reservoir Pressure Fluctuation,PART_0184,TECH_0309,3.06,653.9,Completed
WO_00194,APU_045,2025-01-10 07:02:00,Corrective,Abnormal Motor Current,PART_0057,TECH_0038,1.37,654.6,Monitoring
WO_00195,APU_007,2025-07-23 04:21:00,Corrective,High Oil Temperature,PART_0056,TECH_0032,2.99,555.81,Completed
WO_00196,APU_024,2024-04-24 08:20:00,Corrective,Reservoir Pressure Fluctuation,PART_0166,TECH_0368,3.36,682.34,Completed
WO_00197,APU_042,2024-09-21 20:45:00,Corrective,Abnormal Motor Current,PART_0183,TECH_0108,1.67,630.72,Monitoring
WO_00198,APU_016,2025-08-30 21:25:00,Corrective,Pressure Leak,PART_0271,TECH_0320,2.96,296.8,Completed
WO_00199,APU_046,2025-07-03 15:52:00,Corrective,Oil Level Warning,PART_0240,TECH_0315,2.81,723.46,Monitoring
WO_00200,APU_009,2025-08-06 19:55:00,Inspection,Reservoir Pressure Fluctuation,PART_0238,TECH_0342,1.45,668.58,Completed
WO_00201,APU_029,2024-04-16 00:16:00,Corrective,Pressure Leak,PART_0001,TECH_0487,3.31,333.48,Completed
WO_00202,APU_050,2024-04-29 15:46:00,Corrective,Dryer Valve Fault,PART_0241,TECH_0048,3.7,945.1,Completed
WO_00203,APU_041,2025-06-03 11:02:00,Inspection,Pressure Leak,PART_0289,TECH_0284,4.93,502.51,Completed
WO_00204,APU_023,2024-01-06 18:06:00,Corrective,Oil Level Warning,PART_0150,TECH_0493,4.85,868.63,Monitoring
WO_00205,APU_042,2024-05-29 08:58:00,Preventive,Low Pressure Switch Fault,PART_0260,TECH_0310,1.27,994.01,Monitoring
WO_00206,APU_020,2024-03-02 08:54:00,Preventive,Reservoir Pressure Fluctuation,PART_0022,TECH_0431,1.62,578.37,Completed
WO_00207,APU_014,2024-03-08 14:08:00,Preventive,Compressor Cycling,PART_0293,TECH_0279,3.61,525.9,Completed
WO_00208,APU_002,2025-08-03 01:34:00,Corrective,Pressure Leak,PART_0145,TECH_0233,3.61,666.3,Monitoring
WO_00209,APU_047,2024-02-13 15:37:00,Corrective,High Oil Temperature,PART_0200,TECH_0248,3.61,497.93,Completed
WO_00210,APU_029,2024-08-04 23:14:00,Corrective,High Oil Temperature,PART_0002,TECH_0453,22.62,1335.87,Completed
WO_00211,APU_020,2024-07-26 04:37:00,Corrective,Oil Level Warning,PART_0078,TECH_0326,3.72,635.68,Completed
