transaction_id,transaction_datetime,part_id,transaction_type,quantity,stock_before,stock_after,linked_work_order_id
TXN_000078,2024-08-28 17:57:00,PART_0023,RECEIPT,8,30,38,
TXN_000079,2024-03-25 02:13:00,PART_0056,RECEIPT,3,41,44,
TXN_000080,2024-10-18 09:41:00,PART_0255,RECEIPT,7,40,47,
TXN_000081,2024-05-07 07:50:00,PART_0110,RECEIPT,8,25,33,
TXN_000082,2024-07-07 07:53:00,PART_0281,ISSUE,1,34,33,WO_02823
TXN_000083,2024-10-11 18:14:00,PART_0189,RECEIPT,5,36,41,
TXN_000084,2024-01-08 10:00:00,PART_0254,ISSUE,3,33,30,WO_02610
TXN_000085,2024-10-26 03:13:00,PART_0018,RECEIPT,8,1,9,
TXN_000086,2025-08-02 02:39:00,PART_0142,ISSUE,2,14,12,WO_09263
TXN_000087,2025-05-29 00:34:00,PART_0231,ADJUSTMENT,7,22,15,
TXN_000088,2024-11-19 10:28:00,PART_0187,ISSUE,5,41,36,WO_02811
TXN_000089,2024-02-13 05:06:00,PART_0260,ISSUE,1,12,11,WO_08743
TXN_000090,2025-09-11 01:13:00,PART_0160,ISSUE,5,31,26,WO_00576
TXN_000091,2024-01-11 11:27:00,PART_0249,ISSUE,6,34,28,WO_07862
TXN_000092,2024-01-20 16:59:00,PART_0078,RECEIPT,2,50,52,
TXN_000093,2025-09-04 12:37:00,PART_0063,RECEIPT,1,41,42,
TXN_000094,2025-07-17 00:43:00,PART_0238,ISSUE,1,6,5,WO_03274
TXN_000095,2024-02-16 02:21:00,PART_0266,ISSUE,6,60,54,WO_05100
TXN_000096,2024-05-02 09:20:00,PART_0056,RECEIPT,4,44,48,
TXN_000097,2025-03-05 20:44:00,PART_0054,RECEIPT,5,59,64,
TXN_000098,2024-02-16 00:44:00,PART_0072,ISSUE,5,18,13,WO_02251
TXN_000099,2025-02-24 21:07:00,PART_0170,RECEIPT,2,24,26,
TXN_000100,2025-03-01 11:31:00,PART_0150,ADJUSTMENT,3,19,16,
TXN_000101,2024-04-20 07:33:00,PART_0046,ISSUE,6,29,23,WO_05312
TXN_000102,2025-01-08 09:37:00,PART_0079,ISSUE,5,14,9,WO_00573
TXN_000103,2025-04-10 04:27:00,PART_0256,ISSUE,4,49,45,WO_03516
TXN_000104,2024-05-15 20:21:00,PART_0193,ISSUE,7,28,21,WO_05878
TXN_000105,2024-09-17 03:00:00,PART_0096,RECEIPT,4,60,64,
TXN_000106,2025-03-31 13:03:00,PART_0288,ISSUE,7,7,0,WO_09792
TXN_000107,2025-06-30 23:41:00,PART_0125,RECEIPT,1,17,18,
TXN_000108,2024-10-20 11:04:00,PART_0191,ISSUE,5,22,17,WO_08883
TXN_000109,2025-01-22 20:54:00,PART_0104,ISSUE,6,32,26,WO_07758
TXN_000110,2025-08-13 22:25:00,PART_0127,ADJUSTMENT,2,2,4,
TXN_000111,2024-04-19 08:30:00,PART_0266,ISSUE,3,54,51,WO_07252
TXN_000112,2024-07-29 18:02:00,PART_0195,ISSUE,3,55,52,WO_02106
TXN_000113,2025-08-22 04:46:00,PART_0102,ISSUE,3,43,40,WO_09495
TXN_000114,2024-12-06 20:43:00,PART_0085,ISSUE,7,60,53,WO_06992
TXN_000115,2025-04-24 17:18:00,PART_0178,ISSUE,8,44,36,WO_09401
TXN_000116,2025-02-28 17:34:00,PART_0285,RECEIPT,2,59,61,
TXN_000117,2024-12-27 12:12:00,PART_0192,ISSUE,8,17,9,WO_05456
TXN_000118,2024-07-30 05:18:00,PART_0122,RECEIPT,3,9,12,
TXN_000119,2025-01-01 00:03:00,PART_0166,ISSUE,6,14,8,WO_01372
TXN_000120,2024-04-08 11:29:00,PART_0042,ISSUE,1,58,57,WO_02703
TXN_000121,2025-04-26 11:10:00,PART_0168,RECEIPT,4,43,47,
TXN_000122,2024-08-04 15:20:00,PART_0125,RECEIPT,7,18,25,
TXN_000123,2025-04-11 19:33:00,PART_0226,RECEIPT,4,19,23,
TXN_000124,2024-04-30 01:58:00,PART_0111,ISSUE,5,13,8,WO_08271
TXN_000125,2025-06-19 01:54:00,PART_0085,ISSUE,1,53,52,WO_07090
TXN_000126,2025-04-11 11:05:00,PART_0064,ISSUE,3,37,34,WO_04553
TXN_000127,2025-07-25 20:33:00,PART_0036,ISSUE,6,30,24,WO_04767
TXN_000128,2024-04-30 00:20:00,PART_0093,ADJUSTMENT,5,57,52,
TXN_000129,2024-05-11 09:15:00,PART_0251,ADJUSTMENT,6,57,51,
TXN_000130,2025-01-31 10:38:00,PART_0139,ISSUE,4,8,4,WO_01758
TXN_000131,2024-06-04 13:52:00,PART_0295,RECEIPT,7,56,63,
TXN_000132,2024-08-28 10:57:00,PART_0119,RECEIPT,4,23,27,
TXN_000133,2024-07-17 03:41:00,PART_0201,RECEIPT,7,22,29,
TXN_000134,2024-11-22 21:52:00,PART_0020,ISSUE,5,15,10,WO_09746
TXN_000135,2024-01-23 02:51:00,PART_0047,ISSUE,6,32,26,WO_07265
TXN_000136,2025-05-08 07:20:00,PART_0206,ISSUE,8,28,20,WO_06690
TXN_000137,2024-10-06 23:48:00,PART_0004,ISSUE,3,40,37,WO_01708
TXN_000138,2024-04-07 05:42:00,PART_0136,ISSUE,5,39,34,WO_08752
TXN_000139,2024-12-03 02:18:00,PART_0131,ISSUE,1,34,33,WO_03951
TXN_000140,2024-06-17 12:31:00,PART_0235,RECEIPT,8,30,38,
TXN_000141,2025-03-30 11:31:00,PART_0231,ISSUE,7,15,8,WO_09752
TXN_000142,2024-01-15 19:45:00,PART_0172,RECEIPT,4,29,33,
TXN_000143,2024-05-13 01:18:00,PART_0197,ISSUE,6,38,32,WO_03892
TXN_000144,2024-06-25 07:53:00,PART_0020,ISSUE,3,10,7,WO_06429
TXN_000145,2024-08-16 16:25:00,PART_0150,ISSUE,1,16,15,WO_09955
TXN_000146,2025-07-01 01:31:00,PART_0181,ISSUE,3,50,47,WO_09425
TXN_000147,2024-08-11 08:47:00,PART_0035,ISSUE,8,48,40,WO_02983
TXN_000148,2025-08-16 02:59:00,PART_0153,RECEIPT,8,58,66,
TXN_000149,2024-07-31 13:05:00,PART_0032,ISSUE,2,35,33,WO_04425
TXN_000150,2025-03-17 21:27:00,PART_0090,ISSUE,8,52,44,WO_07247
TXN_000151,2024-09-02 12:29:00,PART_0056,RECEIPT,4,48,52,
TXN_000152,2025-02-03 10:08:00,PART_0300,ISSUE,6,56,50,WO_06265
TXN_000153,2025-08-12 11:55:00,PART_0058,RECEIPT,1,41,42,
TXN_000154,2024-04-02 18:06:00,PART_0122,RECEIPT,8,12,20,
TXN_000155,2024-12-11 10:42:00,PART_0220,RECEIPT,6,32,38,
TXN_000156,2024-10-13 11:42:00,PART_0267,ISSUE,8,59,51,WO_03565
TXN_000157,2025-08-24 16:50:00,PART_0208,RECEIPT,2,8,10,
TXN_000158,2024-04-23 13:12:00,PART_0026,ISSUE,8,19,11,WO_08750
TXN_000159,2025-07-19 02:44:00,PART_0164,ISSUE,7,14,7,WO_04494
TXN_000160,2024-12-27 04:58:00,PART_0200,ISSUE,4,21,17,WO_02274
TXN_000161,2025-04-29 22:34:00,PART_0091,ISSUE,6,55,49,WO_01259
TXN_000162,2024-06-02 10:36:00,PART_0250,RECEIPT,2,12,14,
TXN_000163,2024-03-29 03:35:00,PART_0112,RECEIPT,1,29,30,
TXN_000164,2024-06-12 16:53:00,PART_0132,RECEIPT,2,38,40,
TXN_000165,2025-05-09 10:22:00,PART_0055,ISSUE,7,48,41,WO_03625
TXN_000166,2024-02-28 00:50:00,PART_0237,ISSUE,1,32,31,WO_06073
TXN_000167,2024-03-30 10:18:00,PART_0250,ISSUE,5,14,9,WO_02952
TXN_000168,2024-01-15 19:07:00,PART_0263,ISSUE,8,58,50,WO_02696
TXN_000169,2025-02-17 23:06:00,PART_0213,ISSUE,5,14,9,WO_09900
TXN_000170,2024-03-06 10:57:00,PART_0252,ISSUE,8,27,19,WO_04853
TXN_000171,2024-06-06 09:08:00,PART_0255,ISSUE,5,47,42,WO_03537
TXN_000172,2024-07-15 22:34:00,PART_0196,ISSUE,4,30,26,WO_07831
TXN_000173,2025-07-11 06:04:00,PART_0202,ISSUE,8,53,45,WO_04968
TXN_000174,2024-01-06 05:04:00,PART_0269,ISSUE,3,55,52,WO_08760
TXN_000175,2025-06-21 09:38:00,PART_0111,ISSUE,4,8,4,WO_09850
TXN_000176,2024-03-01 01:30:00,PART_0156,ISSUE,3,46,43,WO_03692
TXN_000177,2024-07-07 10:11:00,PART_0054,ISSUE,4,64,60,WO_03408
TXN_000178,2025-08-09 01:59:00,PART_0153,ADJUSTMENT,8,66,58,
TXN_000179,2024-08-05 23:50:00,PART_0202,RECEIPT,6,45,51,
TXN_000180,2025-07-17 08:09:00,PART_0051,RECEIPT,5,52,57,
TXN_000181,2025-06-24 05:29:00,PART_0227,ISSUE,8,60,52,WO_05552
TXN_000182,2024-01-29 01:30:00,PART_0057,ISSUE,3,39,36,WO_05869
TXN_000183,2024-03-10 06:23:00,PART_0014,ISSUE,2,25,23,WO_01440
TXN_000184,2024-04-26 07:04:00,PART_0204,RECEIPT,2,45,47,
TXN_000185,2024-07-15 20:59:00,PART_0024,RECEIPT,7,38,45,
TXN_000186,2024-06-30 22:52:00,PART_0173,RECEIPT,6,9,15,
TXN_000187,2025-01-25 07:50:00,PART_0010,RECEIPT,3,7,10,
TXN_000188,2025-01-26 00:04:00,PART_0137,ISSUE,6,45,39,WO_04253
TXN_000189,2024-02-24 12:31:00,PART_0096,RECEIPT,7,64,71,
TXN_000190,2024-12-17 13:10:00,PART_0007,ISSUE,6,6,0,WO_00323
TXN_000191,2024-10-26 20:45:00,PART_0153,RECEIPT,6,58,64,
TXN_000192,2024-06-14 20:39:00,PART_0105,ISSUE,4,39,35,WO_06960
TXN_000193,2024-03-23 08:33:00,PART_0184,ISSUE,5,57,52,WO_05281
TXN_000194,2024-01-23 00:49:00,PART_0195,ISSUE,1,52,51,WO_08260
TXN_000195,2025-01-31 18:42:00,PART_0169,ISSUE,2,8,6,WO_04836
TXN_000196,2024-12-28 17:23:00,PART_0108,ISSUE,3,25,22,WO_02486
TXN_000197,2025-01-03 20:51:00,PART_0006,ISSUE,1,53,52,WO_03049
TXN_000198,2025-08-21 03:49:00,PART_0064,ISSUE,3,34,31,WO_02362
TXN_000199,2024-11-17 21:25:00,PART_0145,ISSUE,3,54,51,WO_03525
TXN_000200,2024-03-03 22:19:00,PART_0283,ISSUE,5,30,25,WO_05282
TXN_000201,2025-03-14 13:22:00,PART_0095,RECEIPT,6,47,53,
TXN_000202,2024-01-03 18:58:00,PART_0063,ISSUE,4,42,38,WO_00595
TXN_000203,2025-04-11 03:16:00,PART_0108,ISSUE,3,22,19,WO_03847
TXN_000204,2025-04-18 17:16:00,PART_0131,ISSUE,5,33,28,WO_00613
TXN_000205,2024-07-21 21:32:00,PART_0098,ISSUE,7,58,51,WO_00987
TXN_000206,2024-10-21 16:46:00,PART_0291,RECEIPT,8,60,68,
TXN_000207,2024-12-09 13:26:00,PART_0152,RECEIPT,7,48,55,
TXN_000208,2024-06-07 04:59:00,PART_0176,ISSUE,7,55,48,WO_07302
TXN_000209,2024-04-17 17:37:00,PART_0192,RECEIPT,8,9,17,
TXN_000210,2024-04-03 07:41:00,PART_0254,RECEIPT,8,30,38,
TXN_000211,2025-02-26 20:29:00,PART_0106,ISSUE,3,52,49,WO_01163
TXN_000212,2025-07-04 08:35:00,PART_0263,ISSUE,6,50,44,WO_01217
TXN_000213,2024-06-02 01:16:00,PART_0236,ISSUE,5,33,28,WO_07963
TXN_000214,2024-03-18 07:47:00,PART_0233,ISSUE,8,51,43,WO_07605
TXN_000215,2024-11-05 17:34:00,PART_0152,ISSUE,6,55,49,WO_08127
TXN_000216,2024-08-25 16:56:00,PART_0161,RECEIPT,8,6,14,
TXN_000217,2025-01-17 21:45:00,PART_0045,RECEIPT,4,8,12,
TXN_000218,2025-02-13 14:11:00,PART_0282,ISSUE,6,60,54,WO_01688
TXN_000219,2025-01-05 20:11:00,PART_0038,ISSUE,2,33,31,WO_03582
TXN_000220,2025-03-22 18:58:00,PART_0061,ISSUE,2,24,22,WO_02609
TXN_000221,2024-05-23 18:30:00,PART_0048,ISSUE,1,51,50,WO_08712
TXN_000222,2024-04-19 04:24:00,PART_0299,ISSUE,8,34,26,WO_02133
TXN_000223,2025-05-04 16:22:00,PART_0081,ISSUE,1,14,13,WO_04477
TXN_000224,2025-03-02 06:12:00,PART_0116,ISSUE,6,25,19,WO_01043
TXN_000225,2024-05-23 14:39:00,PART_0270,RECEIPT,3,47,50,
TXN_000226,2025-06-03 15:49:00,PART_0147,ISSUE,5,5,0,WO_06678
TXN_000227,2025-08-24 15:23:00,PART_0159,RECEIPT,4,29,33,
TXN_000228,2025-05-28 16:03:00,PART_0064,RECEIPT,5,31,36,
TXN_000229,2025-01-28 18:33:00,PART_0002,ISSUE,5,48,43,WO_05966
TXN_000230,2024-06-03 23:54:00,PART_0278,ISSUE,6,14,8,WO_02019
TXN_000231,2024-07-07 09:23:00,PART_0256,ADJUSTMENT,3,45,42,
TXN_000232,2025-05-26 09:53:00,PART_0197,RECEIPT,3,32,35,
TXN_000233,2024-12-08 08:49:00,PART_0068,RECEIPT,2,47,49,
TXN_000234,2025-08-07 11:21:00,PART_0227,ISSUE,1,52,51,WO_01533
TXN_000235,2025-08-17 08:08:00,PART_0008,ISSUE,5,5,0,WO_01814
TXN_000236,2024-12-23 07:47:00,PART_0263,RECEIPT,8,44,52,
TXN_000237,2025-01-13 12:34:00,PART_0037,RECEIPT,2,11,13,
TXN_000238,2025-07-06 05:10:00,PART_0220,ISSUE,3,38,35,WO_08495
TXN_000239,2024-07-02 11:02:00,PART_0159,ISSUE,1,33,32,WO_04310
TXN_000240,2024-11-11 16:28:00,PART_0044,RECEIPT,8,34,42,
TXN_000241,2025-06-18 07:51:00,PART_0092,ISSUE,1,7,6,WO_00944
TXN_000242,2025-01-07 21:36:00,PART_0028,ISSUE,5,7,2,WO_09835
TXN_000243,2024-11-28 12:03:00,PART_0118,ISSUE,8,55,47,WO_09669
TXN_000244,2025-03-21 22:45:00,PART_0194,RECEIPT,7,35,42,
TXN_000245,2025-03-02 21:12:00,PART_0087,ISSUE,8,42,34,WO_06348
TXN_000246,2024-05-15 07:10:00,PART_0187,ISSUE,3,36,33,WO_06053
TXN_000247,2024-11-25 23:53:00,PART_0129,ISSUE,7,56,49,WO_00344
TXN_000248,2024-10-18 09:17:00,PART_0248,ISSUE,7,30,23,WO_06127
TXN_000249,2024-07-23 01:26:00,PART_0056,RECEIPT,7,52,59,
TXN_000250,2025-09-08 01:59:00,PART_0241,ISSUE,4,41,37,WO_00725
TXN_000251,2025-09-11 21:39:00,PART_0164,ADJUSTMENT,2,7,9,
TXN_000252,2024-04-25 00:16:00,PART_0151,ISSUE,3,34,31,WO_01944
TXN_000253,2024-03-30 04:06:00,PART_0250,RECEIPT,8,9,17,
TXN_000254,2025-01-25 03:27:00,PART_0278,RECEIPT,8,8,16,
TXN_000255,2024-11-14 10:41:00,PART_0038,ISSUE,7,31,24,WO_09095
TXN_000256,2024-09-01 17:22:00,PART_0275,ISSUE,1,54,53,WO_07963
TXN_000257,2024-02-05 19:50:00,PART_0067,ISSUE,5,44,39,WO_00895
TXN_000258,2024-05-18 02:01:00,PART_0002,RECEIPT,2,43,45,
TXN_000259,2025-08-22 13:13:00,PART_0122,ISSUE,1,20,19,WO_02511
TXN_000260,2024-07-01 17:32:00,PART_0048,ISSUE,3,50,47,WO_03859
TXN_000261,2024-09-04 06:37:00,PART_0188,ISSUE,1,6,5,WO_08226
TXN_000262,2024-11-05 23:28:00,PART_0271,RECEIPT,6,46,52,
TXN_000263,2025-07-14 19:32:00,PART_0263,RECEIPT,3,52,55,
TXN_000264,2025-04-17 15:13:00,PART_0118,RECEIPT,2,47,49,
TXN_000265,2025-01-26 03:00:00,PART_0233,ISSUE,2,43,41,WO_05095
TXN_000266,2025-06-25 15:31:00,PART_0032,ISSUE,3,33,30,WO_01891
TXN_000267,2024-02-01 10:37:00,PART_0222,ISSUE,7,18,11,WO_00686
TXN_000268,2024-03-26 19:36:00,PART_0153,ISSUE,4,64,60,WO_07847
TXN_000269,2025-03-09 05:14:00,PART_0155,ISSUE,6,42,36,WO_05017
TXN_000270,2024-03-24 04:32:00,PART_0141,ISSUE,8,8,0,WO_07255
TXN_000271,2024-08-10 11:29:00,PART_0010,ADJUSTMENT,7,10,17,
TXN_000272,2024-03-04 14:19:00,PART_0073,RECEIPT,4,45,49,
TXN_000273,2024-12-12 04:30:00,PART_0255,RECEIPT,3,42,45,
TXN_000274,2025-01-02 11:18:00,PART_0103,RECEIPT,6,41,47,
TXN_000275,2025-06-25 19:09:00,PART_0210,RECEIPT,4,11,15,
TXN_000276,2024-04-20 02:32:00,PART_0154,ISSUE,7,44,37,WO_04787
TXN_000277,2025-08-19 21:05:00,PART_0146,ISSUE,7,59,52,WO_03742
TXN_000278,2025-06-16 22:57:00,PART_0113,RECEIPT,5,46,51,
TXN_000279,2024-01-10 00:24:00,PART_0084,ISSUE,5,5,0,WO_00241
TXN_000280,2025-07-06 12:08:00,PART_0207,RECEIPT,4,39,43,
TXN_000281,2025-09-16 14:07:00,PART_0293,RECEIPT,5,8,13,
TXN_000282,2025-06-03 23:29:00,PART_0277,RECEIPT,3,29,32,
TXN_000283,2024-03-03 08:14:00,PART_0143,RECEIPT,4,31,35,
TXN_000284,2024-09-08 02:58:00,PART_0269,RECEIPT,5,52,57,
TXN_000285,2024-04-20 10:21:00,PART_0179,ISSUE,4,31,27,WO_00815
TXN_000286,2024-08-13 11:46:00,PART_0281,RECEIPT,4,33,37,
TXN_000287,2025-01-06 11:13:00,PART_0187,ISSUE,5,33,28,WO_04893
TXN_000288,2024-07-28 22:46:00,PART_0023,RECEIPT,2,38,40,
TXN_000289,2025-01-23 13:32:00,PART_0281,RECEIPT,2,37,39,
TXN_000290,2024-11-29 06:45:00,PART_0014,ISSUE,3,23,20,WO_01519
TXN_000291,2024-01-19 08:25:00,PART_0097,ISSUE,3,27,24,WO_08329
TXN_000292,2024-12-31 20:45:00,PART_0045,ISSUE,6,12,6,WO_00177
TXN_000293,2024-08-03 03:20:00,PART_0058,ISSUE,3,42,39,WO_04897
TXN_000294,2024-04-30 05:30:00,PART_0287,ISSUE,6,50,44,WO_04073
TXN_000295,2025-07-17 22:35:00,PART_0123,ISSUE,8,35,27,WO_09920
TXN_000296,2024-03-04 12:59:00,PART_0091,ISSUE,6,49,43,WO_06842
TXN_000297,2025-09-15 00:49:00,PART_0083,RECEIPT,5,27,32,
TXN_000298,2025-01-21 01:20:00,PART_0286,RECEIPT,2,39,41,
TXN_000299,2025-09-03 05:30:00,PART_0073,ISSUE,4,49,45,WO_02973
TXN_000300,2025-03-22 10:54:00,PART_0103,RECEIPT,4,47,51,
TXN_000301,2024-12-07 06:19:00,PART_0116,RECEIPT,1,19,20,
TXN_000302,2025-02-27 21:36:00,PART_0136,RECEIPT,3,34,37,
TXN_000303,2024-06-12 16:32:00,PART_0209,RECEIPT,7,13,20,
TXN_000304,2024-03-31 23:13:00,PART_0026,RECEIPT,6,11,17,
TXN_000305,2024-09-25 17:14:00,PART_0287,ISSUE,6,44,38,WO_07823
TXN_000306,2024-07-31 10:54:00,PART_0265,ISSUE,5,35,30,WO_07804
TXN_000307,2025-09-09 03:14:00,PART_0260,RECEIPT,4,11,15,
TXN_000308,2024-12-13 01:22:00,PART_0103,RECEIPT,7,51,58,
TXN_000309,2024-08-10 20:18:00,PART_0280,RECEIPT,8,63,71,
TXN_000310,2025-05-08 08:16:00,PART_0049,ISSUE,3,30,27,WO_08822
TXN_000311,2025-03-10 06:07:00,PART_0097,ISSUE,8,24,16,WO_05022
TXN_000312,2025-03-13 11:12:00,PART_0126,RECEIPT,5,30,35,
TXN_000313,2025-04-29 12:10:00,PART_0014,ISSUE,5,20,15,WO_09228
TXN_000314,2025-05-02 06:09:00,PART_0273,ISSUE,5,25,20,WO_01173
TXN_000315,2025-01-08 17:24:00,PART_0028,ISSUE,2,2,0,WO_02769
TXN_000316,2024-01-22 10:04:00,PART_0141,RECEIPT,6,0,6,
TXN_000317,2024-07-03 18:34:00,PART_0143,RECEIPT,8,35,43,
TXN_000318,2024-01-22 08:36:00,PART_0214,ISSUE,4,7,3,WO_03662
TXN_000319,2024-07-26 08:32:00,PART_0097,ISSUE,5,16,11,WO_06025
TXN_000320,2024-10-20 11:06:00,PART_0167,RECEIPT,5,49,54,
TXN_000321,2024-01-31 20:27:00,PART_0226,RECEIPT,7,23,30,
TXN_000322,2025-03-08 11:31:00,PART_0116,ISSUE,7,20,13,WO_02217
TXN_000323,2024-05-16 08:27:00,PART_0075,ISSUE,7,32,25,WO_06739
TXN_000324,2025-07-03 11:44:00,PART_0073,RECEIPT,7,45,52,
TXN_000325,2025-03-10 03:34:00,PART_0146,ISSUE,5,52,47,WO_00476
TXN_000326,2024-12-07 07:16:00,PART_0202,RECEIPT,6,51,57,
