supplier_id,supplier_name,category,lead_time_days,reliability_score,status
SUP_0054,Industrial Supplier 054,Cooling,14,0.888,Approved
SUP_0055,Industrial Supplier 055,Cooling,12,0.975,Approved
SUP_0056,Industrial Supplier 056,Pneumatics,6,0.923,Approved
SUP_0057,Industrial Supplier 057,Electrical,5,0.926,Approved
SUP_0058,Industrial Supplier 058,Cooling,10,0.91,Conditional
SUP_0059,Industrial Supplier 059,Instrumentation,10,0.893,Approved
SUP_0060,Industrial Supplier 060,General,11,0.969,Approved
SUP_0061,Industrial Supplier 061,Cooling,8,0.971,Conditional
SUP_0062,Industrial Supplier 062,Mechanical,14,0.897,Conditional
SUP_0063,Industrial Supplier 063,General,2,0.873,Approved
SUP_0064,Industrial Supplier 064,General,5,0.884,Approved
SUP_0065,Industrial Supplier 065,General,8,0.831,Approved
SUP_0066,Industrial Supplier 066,Pneumatics,7,0.836,Approved
SUP_0067,Industrial Supplier 067,Electrical,9,0.83,Approved
SUP_0068,Industrial Supplier 068,General,2,0.89,Conditional
SUP_0069,Industrial Supplier 069,General,1,0.985,Approved
SUP_0070,Industrial Supplier 070,Mechanical,2,0.918,Approved
SUP_0071,Industrial Supplier 071,Electrical,11,0.902,Approved
SUP_0072,Industrial Supplier 072,Mechanical,14,0.915,Approved
SUP_0073,Industrial Supplier 073,Mechanical,10,0.858,Conditional
SUP_0074,Industrial Supplier 074,Instrumentation,13,0.959,Approved
SUP_0075,Industrial Supplier 075,Instrumentation,11,0.961,Approved
SUP_0076,Industrial Supplier 076,Pneumatics,3,0.866,Approved
SUP_0077,Industrial Supplier 077,Mechanical,6,0.821,Approved
SUP_0078,Industrial Supplier 078,Instrumentation,11,0.888,Approved
SUP_0079,Industrial Supplier 079,General,11,0.985,Approved
SUP_0080,Industrial Supplier 080,General,9,0.857,Conditional
SUP_0081,Industrial Supplier 081,Cooling,6,0.847,Approved
SUP_0082,Industrial Supplier 082,General,6,0.952,Approved
SUP_0083,Industrial Supplier 083,Pneumatics,3,0.847,Approved
SUP_0084,Industrial Supplier 084,General,2,0.866,Conditional
SUP_0085,Industrial Supplier 085,Cooling,10,0.895,Approved
SUP_0086,Industrial Supplier 086,Electrical,13,0.907,Approved
SUP_0087,Industrial Supplier 087,Cooling,2,0.868,Conditional
SUP_0088,Industrial Supplier 088,Instrumentation,11,0.872,Approved
SUP_0089,Industrial Supplier 089,Cooling,10,0.829,Approved
SUP_0090,Industrial Supplier 090,Mechanical,4,0.95,Approved
SUP_0091,Industrial Supplier 091,Mechanical,6,0.84,Conditional
SUP_0092,Industrial Supplier 092,General,7,0.85,Conditional
SUP_0093,Industrial Supplier 093,Instrumentation,12,0.859,Approved
SUP_0094,Industrial Supplier 094,Pneumatics,7,0.966,Approved
SUP_0095,Industrial Supplier 095,Cooling,1,0.898,Approved
SUP_0096,Industrial Supplier 096,Mechanical,10,0.893,Conditional
SUP_0097,Industrial Supplier 097,General,11,0.891,Approved
SUP_0098,Industrial Supplier 098,Cooling,1,0.984,Approved
SUP_0099,Industrial Supplier 099,Instrumentation,8,0.961,Approved
SUP_0100,Industrial Supplier 100,Pneumatics,7,0.964,Approved
SUP_0101,Industrial Supplier 101,Cooling,10,0.888,Approved
SUP_0102,Industrial Supplier 102,Cooling,14,0.873,Approved
SUP_0103,Industrial Supplier 103,Electrical,6,0.952,Approved
SUP_0104,Industrial Supplier 104,Instrumentation,11,0.839,Approved
SUP_0105,Industrial Supplier 105,Mechanical,6,0.944,Approved
SUP_0106,Industrial Supplier 106,Electrical,2,0.845,Approved
SUP_0107,Industrial Supplier 107,Electrical,10,0.846,Approved
SUP_0108,Industrial Supplier 108,Electrical,13,0.927,Conditional
SUP_0109,Industrial Supplier 109,Instrumentation,13,0.919,Approved
SUP_0110,Industrial Supplier 110,General,6,0.846,Approved
SUP_0111,Industrial Supplier 111,Cooling,8,0.927,Approved
SUP_0112,Industrial Supplier 112,Instrumentation,1,0.88,Approved
SUP_0113,Industrial Supplier 113,Mechanical,8,0.897,Approved
SUP_0114,Industrial Supplier 114,Mechanical,14,0.869,Approved
SUP_0115,Industrial Supplier 115,Instrumentation,10,0.906,Conditional
SUP_0116,Industrial Supplier 116,Instrumentation,9,0.982,Approved
SUP_0117,Industrial Supplier 117,Cooling,13,0.917,Approved
SUP_0118,Industrial Supplier 118,Mechanical,10,0.901,Approved
SUP_0119,Industrial Supplier 119,Pneumatics,8,0.838,Approved
SUP_0120,Industrial Supplier 120,General,2,0.906,Approved
SUP_0121,Industrial Supplier 121,Pneumatics,4,0.94,Conditional
SUP_0122,Industrial Supplier 122,Instrumentation,9,0.924,Approved
SUP_0123,Industrial Supplier 123,Mechanical,5,0.886,Approved
SUP_0124,Industrial Supplier 124,General,10,0.829,Approved
SUP_0125,Industrial Supplier 125,Pneumatics,6,0.836,Conditional
SUP_0126,Industrial Supplier 126,Mechanical,5,0.943,Approved
SUP_0127,Industrial Supplier 127,Mechanical,2,0.919,Approved
SUP_0128,Industrial Supplier 128,Mechanical,5,0.985,Conditional
SUP_0129,Industrial Supplier 129,Electrical,10,0.941,Approved
SUP_0130,Industrial Supplier 130,Mechanical,9,0.884,Approved
SUP_0131,Industrial Supplier 131,Electrical,11,0.939,Approved
SUP_0132,Industrial Supplier 132,General,11,0.892,Approved
SUP_0133,Industrial Supplier 133,Pneumatics,6,0.873,Approved
SUP_0134,Industrial Supplier 134,Mechanical,13,0.903,Approved
SUP_0135,Industrial Supplier 135,Electrical,3,0.833,Approved
SUP_0136,Industrial Supplier 136,Instrumentation,13,0.912,Approved
SUP_0137,Industrial Supplier 137,General,6,0.969,Approved
SUP_0138,Industrial Supplier 138,Instrumentation,7,0.846,Approved
SUP_0139,Industrial Supplier 139,General,13,0.926,Approved
SUP_0140,Industrial Supplier 140,General,8,0.827,Approved
SUP_0141,Industrial Supplier 141,General,12,0.86,Conditional
SUP_0142,Industrial Supplier 142,Instrumentation,5,0.948,Conditional
SUP_0143,Industrial Supplier 143,Electrical,9,0.861,Conditional
SUP_0144,Industrial Supplier 144,Electrical,6,0.935,Conditional
SUP_0145,Industrial Supplier 145,Cooling,13,0.868,Conditional
SUP_0146,Industrial Supplier 146,Instrumentation,9,0.891,Approved
SUP_0147,Industrial Supplier 147,Electrical,13,0.923,Approved
SUP_0148,Industrial Supplier 148,Pneumatics,11,0.902,Approved
SUP_0149,Industrial Supplier 149,Instrumentation,2,0.941,Approved
SUP_0150,Industrial Supplier 150,Mechanical,2,0.95,Approved
SUP_0151,Industrial Supplier 151,Cooling,9,0.845,Conditional
SUP_0152,Industrial Supplier 152,Pneumatics,4,0.959,Approved
SUP_0153,Industrial Supplier 153,Pneumatics,7,0.829,Approved
SUP_0154,Industrial Supplier 154,Electrical,7,0.989,Approved
SUP_0155,Industrial Supplier 155,Electrical,1,0.874,Approved
SUP_0156,Industrial Supplier 156,General,11,0.877,Approved
SUP_0157,Industrial Supplier 157,Electrical,1,0.869,Conditional
SUP_0158,Industrial Supplier 158,General,14,0.844,Conditional
SUP_0159,Industrial Supplier 159,Cooling,10,0.821,Approved
SUP_0160,Industrial Supplier 160,Pneumatics,5,0.857,Approved
SUP_0161,Industrial Supplier 161,Instrumentation,12,0.924,Conditional
SUP_0162,Industrial Supplier 162,Pneumatics,13,0.869,Approved
SUP_0163,Industrial Supplier 163,Pneumatics,1,0.861,Conditional
SUP_0164,Industrial Supplier 164,Pneumatics,2,0.962,Conditional
SUP_0165,Industrial Supplier 165,Instrumentation,9,0.823,Approved
SUP_0166,Industrial Supplier 166,General,3,0.87,Approved
SUP_0167,Industrial Supplier 167,Instrumentation,6,0.861,Conditional
SUP_0168,Industrial Supplier 168,Electrical,11,0.934,Approved
SUP_0169,Industrial Supplier 169,Pneumatics,9,0.912,Approved
SUP_0170,Industrial Supplier 170,Cooling,14,0.9,Conditional
SUP_0171,Industrial Supplier 171,Mechanical,5,0.947,Approved
SUP_0172,Industrial Supplier 172,Pneumatics,6,0.861,Approved
SUP_0173,Industrial Supplier 173,Instrumentation,12,0.949,Approved
SUP_0174,Industrial Supplier 174,Pneumatics,6,0.913,Approved
SUP_0175,Industrial Supplier 175,General,8,0.987,Conditional
SUP_0176,Industrial Supplier 176,General,3,0.958,Approved
SUP_0177,Industrial Supplier 177,General,13,0.98,Approved
SUP_0178,Industrial Supplier 178,Mechanical,4,0.827,Approved
SUP_0179,Industrial Supplier 179,Pneumatics,6,0.979,Conditional
SUP_0180,Industrial Supplier 180,Instrumentation,8,0.863,Approved
SUP_0181,Industrial Supplier 181,Mechanical,6,0.967,Approved
SUP_0182,Industrial Supplier 182,General,6,0.866,Approved
SUP_0183,Industrial Supplier 183,Cooling,7,0.946,Conditional
SUP_0184,Industrial Supplier 184,Mechanical,3,0.904,Conditional
SUP_0185,Industrial Supplier 185,Mechanical,13,0.908,Approved
SUP_0186,Industrial Supplier 186,General,7,0.833,Approved
SUP_0187,Industrial Supplier 187,Instrumentation,5,0.875,Approved
SUP_0188,Industrial Supplier 188,Mechanical,11,0.87,Conditional
SUP_0189,Industrial Supplier 189,Instrumentation,12,0.892,Conditional
SUP_0190,Industrial Supplier 190,Mechanical,8,0.827,Approved
SUP_0191,Industrial Supplier 191,Instrumentation,7,0.867,Approved
SUP_0192,Industrial Supplier 192,Pneumatics,11,0.928,Approved
SUP_0193,Industrial Supplier 193,Instrumentation,13,0.947,Approved
SUP_0194,Industrial Supplier 194,Pneumatics,3,0.964,Conditional
SUP_0195,Industrial Supplier 195,Pneumatics,3,0.831,Approved
SUP_0196,Industrial Supplier 196,Mechanical,7,0.981,Approved
SUP_0197,Industrial Supplier 197,Instrumentation,3,0.935,Approved
SUP_0198,Industrial Supplier 198,Mechanical,8,0.95,Approved
SUP_0199,Industrial Supplier 199,Instrumentation,6,0.888,Approved
SUP_0200,Industrial Supplier 200,Electrical,2,0.824,Approved
SUP_0201,Industrial Supplier 201,Cooling,9,0.886,Approved
SUP_0202,Industrial Supplier 202,Mechanical,13,0.864,Conditional
SUP_0203,Industrial Supplier 203,Electrical,10,0.869,Conditional
SUP_0204,Industrial Supplier 204,Electrical,2,0.843,Approved
SUP_0205,Industrial Supplier 205,Cooling,3,0.973,Conditional
SUP_0206,Industrial Supplier 206,Pneumatics,13,0.936,Approved
SUP_0207,Industrial Supplier 207,General,6,0.941,Approved
SUP_0208,Industrial Supplier 208,Mechanical,14,0.847,Approved
SUP_0209,Industrial Supplier 209,Mechanical,9,0.858,Approved
SUP_0210,Industrial Supplier 210,Electrical,4,0.954,Approved
SUP_0211,Industrial Supplier 211,Mechanical,9,0.917,Conditional
SUP_0212,Industrial Supplier 212,Instrumentation,3,0.924,Approved
SUP_0213,Industrial Supplier 213,Pneumatics,5,0.888,Conditional
SUP_0214,Industrial Supplier 214,Instrumentation,7,0.951,Approved
SUP_0215,Industrial Supplier 215,Electrical,6,0.929,Conditional
SUP_0216,Industrial Supplier 216,Cooling,11,0.908,Approved
SUP_0217,Industrial Supplier 217,Instrumentation,11,0.92,Approved
SUP_0218,Industrial Supplier 218,Cooling,9,0.975,Approved
SUP_0219,Industrial Supplier 219,Pneumatics,9,0.846,Approved
SUP_0220,Industrial Supplier 220,Electrical,6,0.979,Approved
SUP_0221,Industrial Supplier 221,Mechanical,9,0.972,Approved
SUP_0222,Industrial Supplier 222,Mechanical,4,0.928,Approved
SUP_0223,Industrial Supplier 223,Electrical,11,0.871,Approved
SUP_0224,Industrial Supplier 224,Instrumentation,11,0.849,Approved
SUP_0225,Industrial Supplier 225,Electrical,11,0.926,Approved
SUP_0226,Industrial Supplier 226,Instrumentation,1,0.96,Approved
SUP_0227,Industrial Supplier 227,Pneumatics,1,0.981,Approved
SUP_0228,Industrial Supplier 228,General,4,0.95,Conditional
SUP_0229,Industrial Supplier 229,Instrumentation,11,0.825,Approved
SUP_0230,Industrial Supplier 230,General,5,0.902,Conditional
SUP_0231,Industrial Supplier 231,Mechanical,8,0.832,Approved
SUP_0232,Industrial Supplier 232,Electrical,8,0.891,Conditional
SUP_0233,Industrial Supplier 233,Electrical,6,0.923,Approved
SUP_0234,Industrial Supplier 234,General,6,0.945,Approved
SUP_0235,Industrial Supplier 235,Cooling,3,0.949,Approved
SUP_0236,Industrial Supplier 236,Mechanical,4,0.899,Approved
SUP_0237,Industrial Supplier 237,Cooling,4,0.844,Approved
SUP_0238,Industrial Supplier 238,Mechanical,7,0.967,Conditional
SUP_0239,Industrial Supplier 239,Electrical,14,0.973,Approved
SUP_0240,Industrial Supplier 240,Instrumentation,12,0.873,Approved
SUP_0241,Industrial Supplier 241,Cooling,9,0.899,Approved
SUP_0242,Industrial Supplier 242,Cooling,1,0.835,Conditional
SUP_0243,Industrial Supplier 243,Instrumentation,8,0.984,Approved
SUP_0244,Industrial Supplier 244,Instrumentation,6,0.828,Approved
SUP_0245,Industrial Supplier 245,Cooling,10,0.97,Conditional
SUP_0246,Industrial Supplier 246,Mechanical,9,0.821,Approved
SUP_0247,Industrial Supplier 247,Cooling,3,0.97,Approved
SUP_0248,Industrial Supplier 248,Cooling,6,0.828,Approved
SUP_0249,Industrial Supplier 249,Instrumentation,9,0.853,Approved
SUP_0250,Industrial Supplier 250,Pneumatics,7,0.906,Approved
SUP_0251,Industrial Supplier 251,Instrumentation,11,0.924,Approved
SUP_0252,Industrial Supplier 252,Pneumatics,7,0.883,Approved
SUP_0253,Industrial Supplier 253,Instrumentation,6,0.948,Approved
SUP_0254,Industrial Supplier 254,Instrumentation,9,0.888,Approved
SUP_0255,Industrial Supplier 255,Pneumatics,1,0.843,Approved
SUP_0256,Industrial Supplier 256,Cooling,9,0.898,Approved
SUP_0257,Industrial Supplier 257,Mechanical,10,0.874,Conditional
SUP_0258,Industrial Supplier 258,Instrumentation,12,0.963,Approved
SUP_0259,Industrial Supplier 259,Instrumentation,14,0.907,Conditional
SUP_0260,Industrial Supplier 260,General,10,0.871,Approved
SUP_0261,Industrial Supplier 261,Mechanical,6,0.935,Conditional
SUP_0262,Industrial Supplier 262,Instrumentation,5,0.955,Approved
SUP_0263,Industrial Supplier 263,Instrumentation,8,0.865,Approved
SUP_0264,Industrial Supplier 264,General,1,0.919,Approved
SUP_0265,Industrial Supplier 265,Instrumentation,11,0.943,Conditional
SUP_0266,Industrial Supplier 266,Electrical,14,0.936,Approved
SUP_0267,Industrial Supplier 267,Instrumentation,12,0.839,Approved
SUP_0268,Industrial Supplier 268,Cooling,6,0.891,Conditional
SUP_0269,Industrial Supplier 269,General,4,0.89,Conditional
SUP_0270,Industrial Supplier 270,General,12,0.831,Approved
SUP_0271,Industrial Supplier 271,Instrumentation,4,0.915,Conditional
SUP_0272,Industrial Supplier 272,Instrumentation,7,0.873,Approved
SUP_0273,Industrial Supplier 273,Cooling,9,0.878,Approved
SUP_0274,Industrial Supplier 274,General,13,0.968,Approved
SUP_0275,Industrial Supplier 275,Instrumentation,8,0.853,Approved
SUP_0276,Industrial Supplier 276,Mechanical,9,0.871,Approved
SUP_0277,Industrial Supplier 277,Mechanical,12,0.855,Conditional
SUP_0278,Industrial Supplier 278,Mechanical,8,0.879,Approved
SUP_0279,Industrial Supplier 279,Mechanical,2,0.917,Conditional
SUP_0280,Industrial Supplier 280,Cooling,14,0.879,Approved
SUP_0281,Industrial Supplier 281,Mechanical,1,0.869,Approved
SUP_0282,Industrial Supplier 282,Mechanical,8,0.932,Conditional
SUP_0283,Industrial Supplier 283,Electrical,4,0.961,Approved
SUP_0284,Industrial Supplier 284,Instrumentation,12,0.866,Approved
SUP_0285,Industrial Supplier 285,Instrumentation,12,0.92,Approved
SUP_0286,Industrial Supplier 286,Pneumatics,11,0.974,Approved
SUP_0287,Industrial Supplier 287,General,4,0.829,Conditional
SUP_0288,Industrial Supplier 288,Mechanical,12,0.9,Approved
SUP_0289,Industrial Supplier 289,Pneumatics,9,0.986,Approved
SUP_0290,Industrial Supplier 290,Cooling,11,0.979,Conditional
SUP_0291,Industrial Supplier 291,Cooling,11,0.854,Approved
SUP_0292,Industrial Supplier 292,Mechanical,5,0.93,Approved
SUP_0293,Industrial Supplier 293,General,10,0.859,Approved
SUP_0294,Industrial Supplier 294,Electrical,7,0.97,Approved
SUP_0295,Industrial Supplier 295,Pneumatics,14,0.887,Conditional
SUP_0296,Industrial Supplier 296,Electrical,12,0.984,Approved
SUP_0297,Industrial Supplier 297,Pneumatics,1,0.871,Approved
SUP_0298,Industrial Supplier 298,Mechanical,5,0.897,Conditional
SUP_0299,Industrial Supplier 299,Electrical,14,0.906,Approved
SUP_0300,Industrial Supplier 300,Electrical,13,0.839,Approved
SUP_0301,Industrial Supplier 301,General,8,0.93,Approved
SUP_0302,Industrial Supplier 302,Pneumatics,12,0.877,Approved
SUP_0303,Industrial Supplier 303,Instrumentation,11,0.949,Approved
SUP_0304,Industrial Supplier 304,Instrumentation,14,0.929,Conditional
SUP_0305,Industrial Supplier 305,Cooling,9,0.876,Conditional
SUP_0306,Industrial Supplier 306,General,2,0.851,Approved
SUP_0307,Industrial Supplier 307,Cooling,6,0.979,Approved
SUP_0308,Industrial Supplier 308,Mechanical,7,0.86,Approved
SUP_0309,Industrial Supplier 309,Mechanical,5,0.919,Approved
SUP_0310,Industrial Supplier 310,Mechanical,11,0.881,Approved
SUP_0311,Industrial Supplier 311,Pneumatics,11,0.84,Approved
SUP_0312,Industrial Supplier 312,Electrical,7,0.937,Approved
SUP_0313,Industrial Supplier 313,General,2,0.929,Approved
SUP_0314,Industrial Supplier 314,Mechanical,10,0.858,Approved
SUP_0315,Industrial Supplier 315,Cooling,3,0.897,Approved
SUP_0316,Industrial Supplier 316,Cooling,12,0.913,Conditional
SUP_0317,Industrial Supplier 317,Instrumentation,13,0.933,Approved
SUP_0318,Industrial Supplier 318,Electrical,11,0.948,Approved
SUP_0319,Industrial Supplier 319,Instrumentation,8,0.91,Approved
SUP_0320,Industrial Supplier 320,Pneumatics,10,0.839,Approved
SUP_0321,Industrial Supplier 321,Instrumentation,9,0.845,Approved
SUP_0322,Industrial Supplier 322,Instrumentation,8,0.84,Approved
SUP_0323,Industrial Supplier 323,General,10,0.903,Conditional
SUP_0324,Industrial Supplier 324,Pneumatics,8,0.842,Conditional
SUP_0325,Industrial Supplier 325,Cooling,10,0.83,Conditional
SUP_0326,Industrial Supplier 326,General,13,0.872,Approved
SUP_0327,Industrial Supplier 327,Cooling,5,0.959,Approved
SUP_0328,Industrial Supplier 328,Instrumentation,2,0.828,Approved
SUP_0329,Industrial Supplier 329,General,2,0.912,Approved
SUP_0330,Industrial Supplier 330,Pneumatics,8,0.825,Conditional
SUP_0331,Industrial Supplier 331,Electrical,13,0.843,Conditional
SUP_0332,Industrial Supplier 332,Mechanical,7,0.896,Conditional
SUP_0333,Industrial Supplier 333,Cooling,2,0.936,Approved
SUP_0334,Industrial Supplier 334,General,14,0.879,Approved
SUP_0335,Industrial Supplier 335,Instrumentation,7,0.91,Approved
SUP_0336,Industrial Supplier 336,Pneumatics,13,0.824,Approved
SUP_0337,Industrial Supplier 337,Cooling,11,0.942,Conditional
SUP_0338,Industrial Supplier 338,Instrumentation,7,0.96,Approved
SUP_0339,Industrial Supplier 339,Cooling,6,0.846,Approved
SUP_0340,Industrial Supplier 340,General,13,0.839,Conditional
SUP_0341,Industrial Supplier 341,Instrumentation,13,0.979,Approved
SUP_0342,Industrial Supplier 342,Electrical,4,0.831,Approved
SUP_0343,Industrial Supplier 343,Cooling,10,0.934,Approved
SUP_0344,Industrial Supplier 344,Electrical,12,0.828,Conditional
SUP_0345,Industrial Supplier 345,Electrical,9,0.857,Approved
SUP_0346,Industrial Supplier 346,Electrical,9,0.989,Approved
SUP_0347,Industrial Supplier 347,General,10,0.874,Approved
SUP_0348,Industrial Supplier 348,Electrical,5,0.969,Approved
SUP_0349,Industrial Supplier 349,Cooling,5,0.867,Approved
SUP_0350,Industrial Supplier 350,General,11,0.893,Conditional
SUP_0351,Industrial Supplier 351,Pneumatics,6,0.98,Conditional
SUP_0352,Industrial Supplier 352,Instrumentation,6,0.938,Conditional
SUP_0353,Industrial Supplier 353,Electrical,5,0.884,Conditional
SUP_0354,Industrial Supplier 354,Electrical,14,0.858,Approved
SUP_0355,Industrial Supplier 355,Cooling,1,0.916,Conditional
SUP_0356,Industrial Supplier 356,Instrumentation,9,0.843,Approved
SUP_0357,Industrial Supplier 357,Mechanical,4,0.876,Approved
SUP_0358,Industrial Supplier 358,Cooling,14,0.883,Approved
SUP_0359,Industrial Supplier 359,Pneumatics,5,0.884,Approved
SUP_0360,Industrial Supplier 360,Pneumatics,4,0.957,Approved
SUP_0361,Industrial Supplier 361,Cooling,4,0.968,Approved
SUP_0362,Industrial Supplier 362,Mechanical,1,0.856,Approved
SUP_0363,Industrial Supplier 363,General,2,0.947,Conditional
SUP_0364,Industrial Supplier 364,Electrical,12,0.923,Approved
SUP_0365,Industrial Supplier 365,Cooling,4,0.914,Approved
SUP_0366,Industrial Supplier 366,Cooling,8,0.911,Approved
SUP_0367,Industrial Supplier 367,Mechanical,5,0.881,Conditional
SUP_0368,Industrial Supplier 368,Cooling,2,0.956,Conditional
SUP_0369,Industrial Supplier 369,Mechanical,4,0.883,Conditional
SUP_0370,Industrial Supplier 370,Pneumatics,10,0.967,Approved
SUP_0371,Industrial Supplier 371,Pneumatics,5,0.914,Conditional
SUP_0372,Industrial Supplier 372,Mechanical,3,0.853,Approved
SUP_0373,Industrial Supplier 373,Cooling,10,0.962,Conditional
SUP_0374,Industrial Supplier 374,Instrumentation,11,0.98,Approved
SUP_0375,Industrial Supplier 375,Mechanical,13,0.96,Conditional
SUP_0376,Industrial Supplier 376,Cooling,3,0.945,Approved
SUP_0377,Industrial Supplier 377,Electrical,3,0.942,Conditional
SUP_0378,Industrial Supplier 378,Electrical,9,0.988,Approved
SUP_0379,Industrial Supplier 379,Instrumentation,1,0.963,Approved
SUP_0380,Industrial Supplier 380,General,1,0.95,Conditional
SUP_0381,Industrial Supplier 381,Electrical,14,0.927,Approved
SUP_0382,Industrial Supplier 382,General,3,0.822,Conditional
SUP_0383,Industrial Supplier 383,Mechanical,1,0.925,Conditional
SUP_0384,Industrial Supplier 384,General,8,0.823,Conditional
SUP_0385,Industrial Supplier 385,Pneumatics,1,0.91,Approved
SUP_0386,Industrial Supplier 386,Instrumentation,5,0.823,Conditional
SUP_0387,Industrial Supplier 387,Electrical,2,0.976,Approved
SUP_0388,Industrial Supplier 388,Electrical,4,0.925,Approved
SUP_0389,Industrial Supplier 389,Mechanical,5,0.955,Approved
SUP_0390,Industrial Supplier 390,Mechanical,7,0.898,Approved
SUP_0391,Industrial Supplier 391,General,4,0.871,Approved
SUP_0392,Industrial Supplier 392,General,14,0.93,Approved
SUP_0393,Industrial Supplier 393,Pneumatics,7,0.884,Conditional
SUP_0394,Industrial Supplier 394,Pneumatics,11,0.822,Approved
SUP_0395,Industrial Supplier 395,Pneumatics,8,0.964,Approved
SUP_0396,Industrial Supplier 396,Instrumentation,14,0.986,Approved
SUP_0397,Industrial Supplier 397,Electrical,4,0.973,Conditional
SUP_0398,Industrial Supplier 398,Mechanical,1,0.977,Approved
SUP_0399,Industrial Supplier 399,Instrumentation,10,0.932,Approved
SUP_0400,Industrial Supplier 400,Mechanical,1,0.983,Approved
SUP_0401,Industrial Supplier 401,General,14,0.888,Approved
SUP_0402,Industrial Supplier 402,Mechanical,3,0.916,Conditional
SUP_0403,Industrial Supplier 403,General,9,0.876,Approved
SUP_0404,Industrial Supplier 404,General,12,0.833,Approved
SUP_0405,Industrial Supplier 405,Pneumatics,2,0.894,Approved
SUP_0406,Industrial Supplier 406,Mechanical,10,0.951,Conditional
SUP_0407,Industrial Supplier 407,Mechanical,1,0.928,Conditional
SUP_0408,Industrial Supplier 408,Cooling,4,0.88,Conditional
SUP_0409,Industrial Supplier 409,Cooling,3,0.936,Conditional
SUP_0410,Industrial Supplier 410,Pneumatics,13,0.925,Approved
SUP_0411,Industrial Supplier 411,General,2,0.834,Approved
SUP_0412,Industrial Supplier 412,Cooling,12,0.953,Approved
SUP_0413,Industrial Supplier 413,General,7,0.874,Approved
SUP_0414,Industrial Supplier 414,Pneumatics,1,0.98,Conditional
