cost_id,work_order_id,machine_id,repair_cost_usd,downtime_cost_per_hour_usd,downtime_cost_usd,total_impact_usd
COST_00037,WO_00037,APU_012,483.14,1548.33,4722.41,5205.55
COST_00038,WO_00038,APU_045,428.95,740.34,688.52,1117.47
COST_00039,WO_00039,APU_040,957.24,1264.42,1656.39,2613.63
COST_00040,WO_00040,APU_040,413.3,474.37,1437.34,1850.64
COST_00041,WO_00041,APU_009,594.77,1077.15,4394.77,4989.54
COST_00042,WO_00042,APU_021,889.4,917.23,2742.52,3631.92
COST_00043,WO_00043,APU_023,456.4,1317.78,3360.34,3816.74
COST_00044,WO_00044,APU_040,349.42,598.36,1376.23,1725.65
COST_00045,WO_00045,APU_012,154.39,1145.25,1385.75,1540.14
COST_00046,WO_00046,APU_010,260.47,1281.56,2345.25,2605.72
COST_00047,WO_00047,APU_023,997.8,544.71,1149.34,2147.14
COST_00048,WO_00048,APU_027,1130.7,711.93,3459.98,4590.68
COST_00049,WO_00049,APU_020,294.13,1318.33,4324.12,4618.25
COST_00050,WO_00050,APU_019,402.85,1327.32,1367.14,1769.99
COST_00051,WO_00051,APU_046,309.83,651.32,2116.79,2426.62
COST_00052,WO_00052,APU_016,927.94,701.73,1543.81,2471.75
COST_00053,WO_00053,APU_014,944.64,860.7,1609.51,2554.15
COST_00054,WO_00054,APU_035,753.6,1278.79,4872.19,5625.79
COST_00055,WO_00055,APU_021,406.17,393.69,1885.78,2291.95
COST_00056,WO_00056,APU_049,816.44,1027.41,4664.44,5480.88
COST_00057,WO_00057,APU_009,605.6,515.23,881.04,1486.64
COST_00058,WO_00058,APU_023,503.29,977.16,2237.7,2740.99
COST_00059,WO_00059,APU_013,1025.81,461.14,1503.32,2529.13
COST_00060,WO_00060,APU_013,1062.51,527.38,2452.32,3514.83
COST_00061,WO_00061,APU_010,856.35,581.82,1216.0,2072.35
COST_00062,WO_00062,APU_020,1074.28,1722.19,4219.37,5293.65
COST_00063,WO_00063,APU_019,747.65,662.73,980.84,1728.49
COST_00064,WO_00064,APU_014,474.71,903.64,1274.13,1748.84
COST_00065,WO_00065,APU_001,817.97,1647.91,7003.62,7821.59
COST_00066,WO_00066,APU_012,1136.18,641.79,3677.46,4813.64
COST_00067,WO_00067,APU_032,140.26,1286.7,3358.29,3498.55
COST_00068,WO_00068,APU_041,545.03,472.18,2228.69,2773.72
COST_00069,WO_00069,APU_032,348.59,1189.7,3949.8,4298.39
COST_00070,WO_00070,APU_038,663.49,419.2,800.67,1464.16
COST_00071,WO_00071,APU_033,941.84,636.92,2114.57,3056.41
COST_00072,WO_00072,APU_045,518.99,1406.58,8903.65,9422.64
COST_00073,WO_00073,APU_019,388.65,1260.77,3366.26,3754.91
COST_00074,WO_00074,APU_039,862.18,918.55,5906.28,6768.46
COST_00075,WO_00075,APU_044,228.06,1086.97,695.66,923.72
COST_00076,WO_00076,APU_009,396.11,1598.03,6823.59,7219.7
COST_00077,WO_00077,APU_014,895.4,483.7,1378.55,2273.95
COST_00078,WO_00078,APU_030,798.59,994.59,2297.5,3096.09
COST_00079,WO_00079,APU_009,439.87,1328.73,3800.17,4240.04
COST_00080,WO_00080,APU_048,581.34,385.92,351.19,932.53
COST_00081,WO_00081,APU_009,716.2,828.55,1996.81,2713.01
COST_00082,WO_00082,APU_002,435.44,1002.64,3318.74,3754.18
COST_00083,WO_00083,APU_008,844.71,689.46,4226.39,5071.1
COST_00084,WO_00084,APU_039,746.67,1092.49,2228.68,2975.35
COST_00085,WO_00085,APU_038,323.86,682.03,1186.73,1510.59
COST_00086,WO_00086,APU_007,306.61,398.77,821.47,1128.08
COST_00087,WO_00087,APU_047,478.71,1278.98,5755.41,6234.12
COST_00088,WO_00088,APU_044,645.77,671.34,2188.57,2834.34
COST_00089,WO_00089,APU_008,798.76,504.56,1024.26,1823.02
COST_00090,WO_00090,APU_046,533.67,1778.35,6402.06,6935.73
COST_00091,WO_00091,APU_039,296.97,1580.46,4535.92,4832.89
COST_00092,WO_00092,APU_005,1086.64,1762.05,8158.29,9244.93
COST_00093,WO_00093,APU_026,752.93,1292.35,2390.85,3143.78
COST_00094,WO_00094,APU_005,382.36,965.36,2191.37,2573.73
COST_00095,WO_00095,APU_015,602.33,512.86,1123.16,1725.49
COST_00096,WO_00096,APU_023,326.79,894.28,1091.02,1417.81
COST_00097,WO_00097,APU_008,461.48,993.45,3179.04,3640.52
COST_00098,WO_00098,APU_048,403.74,1792.66,5628.95,6032.69
COST_00099,WO_00099,APU_010,482.27,1065.94,2910.02,3392.29
COST_00100,WO_00100,APU_013,886.23,899.64,2150.14,3036.37
COST_00101,WO_00101,APU_028,187.65,744.29,930.36,1118.01
COST_00102,WO_00102,APU_003,209.06,660.76,1427.24,1636.3
COST_00103,WO_00103,APU_049,874.55,302.9,681.52,1556.07
COST_00104,WO_00104,APU_017,381.21,316.83,554.45,935.66
COST_00105,WO_00105,APU_038,329.76,340.41,847.62,1177.38
COST_00106,WO_00106,APU_025,823.45,753.27,2553.59,3377.04
COST_00107,WO_00107,APU_016,737.76,1614.85,12385.9,13123.66
COST_00108,WO_00108,APU_022,271.02,734.58,2196.39,2467.41
COST_00109,WO_00109,APU_018,997.86,801.88,2509.88,3507.74
COST_00110,WO_00110,APU_037,481.51,1490.16,3889.32,4370.83
COST_00111,WO_00111,APU_011,423.93,1497.53,1422.65,1846.58
COST_00112,WO_00112,APU_019,721.87,405.76,1087.44,1809.31
COST_00113,WO_00113,APU_046,512.08,617.76,1735.91,2247.99
COST_00114,WO_00114,APU_014,736.92,601.67,6341.6,7078.52
COST_00115,WO_00115,APU_027,824.33,1798.41,4406.1,5230.43
COST_00116,WO_00116,APU_041,431.53,644.0,2067.24,2498.77
COST_00117,WO_00117,APU_041,1029.65,1261.05,3367.0,4396.65
COST_00118,WO_00118,APU_010,516.11,1121.73,1604.07,2120.18
COST_00119,WO_00119,APU_027,680.62,689.89,3518.44,4199.06
COST_00120,WO_00120,APU_008,799.46,743.09,3054.1,3853.56
COST_00121,WO_00121,APU_036,874.94,971.18,4078.96,4953.9
COST_00122,WO_00122,APU_018,353.43,338.32,558.23,911.66
COST_00123,WO_00123,APU_006,550.95,1179.72,6936.75,7487.7
COST_00124,WO_00124,APU_026,515.91,1352.26,1703.85,2219.76
COST_00125,WO_00125,APU_032,1042.76,546.65,2049.94,3092.7
COST_00126,WO_00126,APU_028,455.68,988.6,8966.6,9422.28
COST_00127,WO_00127,APU_017,335.6,1086.08,1716.01,2051.61
COST_00128,WO_00128,APU_035,465.5,1105.03,2199.01,2664.51
COST_00129,WO_00129,APU_031,761.1,316.67,908.84,1669.94
COST_00130,WO_00130,APU_045,726.36,743.31,1531.22,2257.58
COST_00131,WO_00131,APU_035,499.73,1332.58,1545.79,2045.52
COST_00132,WO_00132,APU_006,894.9,1658.43,4676.77,5571.67
COST_00133,WO_00133,APU_050,610.7,1040.0,1580.8,2191.5
COST_00134,WO_00134,APU_048,631.81,1702.23,6008.87,6640.68
COST_00135,WO_00135,APU_033,295.33,1775.74,2912.21,3207.54
COST_00136,WO_00136,APU_045,962.03,634.6,4048.75,5010.78
COST_00137,WO_00137,APU_026,193.29,557.12,986.1,1179.39
COST_00138,WO_00138,APU_039,186.35,1375.33,3135.75,3322.1
COST_00139,WO_00139,APU_012,447.16,1613.78,6858.56,7305.72
COST_00140,WO_00140,APU_025,412.94,1207.77,1666.72,2079.66
COST_00141,WO_00141,APU_030,747.53,615.65,1896.2,2643.73
COST_00142,WO_00142,APU_006,414.98,664.52,3708.02,4123.0
COST_00143,WO_00143,APU_008,646.04,1371.86,1536.48,2182.52
COST_00144,WO_00144,APU_048,736.76,1752.52,5275.09,6011.85
COST_00145,WO_00145,APU_047,952.69,696.39,2186.66,3139.35
COST_00146,WO_00146,APU_017,268.96,711.34,2973.4,3242.36
COST_00147,WO_00147,APU_001,580.29,1092.21,1507.25,2087.54
COST_00148,WO_00148,APU_046,312.27,850.09,1113.62,1425.89
COST_00149,WO_00149,APU_031,667.19,1094.75,3962.99,4630.18
COST_00150,WO_00150,APU_043,233.39,724.2,2317.44,2550.83
COST_00151,WO_00151,APU_030,1119.37,1375.35,4291.09,5410.46
COST_00152,WO_00152,APU_021,723.3,755.89,2486.88,3210.18
COST_00153,WO_00153,APU_019,354.9,717.31,1341.37,1696.27
COST_00154,WO_00154,APU_049,1030.53,301.37,931.23,1961.76
COST_00155,WO_00155,APU_031,436.05,546.29,1742.67,2178.72
COST_00156,WO_00156,APU_029,260.51,1778.93,3273.23,3533.74
COST_00157,WO_00157,APU_023,941.08,1126.78,8552.26,9493.34
COST_00158,WO_00158,APU_038,321.82,1755.36,6196.42,6518.24
COST_00159,WO_00159,APU_044,422.9,1247.87,1759.5,2182.4
COST_00160,WO_00160,APU_024,777.58,344.94,1345.27,2122.85
COST_00161,WO_00161,APU_041,291.93,673.93,1071.55,1363.48
COST_00162,WO_00162,APU_047,736.33,815.48,3416.86,4153.19
COST_00163,WO_00163,APU_004,1103.06,1434.06,7371.07,8474.13
COST_00164,WO_00164,APU_006,366.64,1467.75,2539.21,2905.85
COST_00165,WO_00165,APU_020,865.64,350.32,1618.48,2484.12
COST_00166,WO_00166,APU_024,802.17,388.2,1323.76,2125.93
COST_00167,WO_00167,APU_006,1023.36,1772.22,7567.38,8590.74
COST_00168,WO_00168,APU_003,706.31,425.08,3281.62,3987.93
COST_00169,WO_00169,APU_034,287.48,799.2,1902.1,2189.58
COST_00170,WO_00170,APU_010,321.89,1086.88,1956.38,2278.27
COST_00171,WO_00171,APU_003,468.26,514.73,859.6,1327.86
COST_00172,WO_00172,APU_017,961.69,1226.18,2133.55,3095.24
COST_00173,WO_00173,APU_012,582.08,591.18,1542.98,2125.06
COST_00174,WO_00174,APU_038,447.68,1199.02,3932.79,4380.47
COST_00175,WO_00175,APU_012,862.77,1710.25,5421.49,6284.26
COST_00176,WO_00176,APU_001,610.4,1491.88,6385.25,6995.65
COST_00177,WO_00177,APU_040,394.7,985.66,2700.71,3095.41
COST_00178,WO_00178,APU_013,533.06,1642.1,9934.7,10467.76
COST_00179,WO_00179,APU_028,722.75,488.77,1148.61,1871.36
COST_00180,WO_00180,APU_002,1573.15,570.65,6921.98,8495.13
COST_00181,WO_00181,APU_002,927.72,1044.03,3998.63,4926.35
COST_00182,WO_00182,APU_022,686.39,902.65,1534.5,2220.89
COST_00183,WO_00183,APU_032,248.23,1149.34,1735.5,1983.73
COST_00184,WO_00184,APU_046,364.99,401.24,1420.39,1785.38
COST_00185,WO_00185,APU_042,368.9,1519.89,3647.74,4016.64
COST_00186,WO_00186,APU_045,358.26,1636.88,6596.63,6954.89
COST_00187,WO_00187,APU_015,1023.45,383.5,1353.75,2377.2
COST_00188,WO_00188,APU_019,679.93,1546.19,4035.56,4715.49
COST_00189,WO_00189,APU_011,672.76,1176.32,2011.51,2684.27
COST_00190,WO_00190,APU_012,262.99,904.64,1067.48,1330.47
COST_00191,WO_00191,APU_016,760.16,1556.7,3315.77,4075.93
COST_00192,WO_00192,APU_033,427.38,737.18,3206.73,3634.11
COST_00193,WO_00193,APU_032,653.9,1465.79,4485.32,5139.22
COST_00194,WO_00194,APU_045,654.6,851.85,1167.03,1821.63
COST_00195,WO_00195,APU_007,555.81,1518.87,4541.42,5097.23
COST_00196,WO_00196,APU_024,682.34,658.74,2213.37,2895.71
COST_00197,WO_00197,APU_042,630.72,1342.51,2241.99,2872.71
COST_00198,WO_00198,APU_016,296.8,1793.06,5307.46,5604.26
COST_00199,WO_00199,APU_046,723.46,1240.56,3485.97,4209.43
COST_00200,WO_00200,APU_009,668.58,397.24,576.0,1244.58
COST_00201,WO_00201,APU_029,333.48,682.9,2260.4,2593.88
COST_00202,WO_00202,APU_050,945.1,710.49,2628.81,3573.91
COST_00203,WO_00203,APU_041,502.51,1497.21,7381.25,7883.76
COST_00204,WO_00204,APU_023,868.63,1679.6,8146.06,9014.69
COST_00205,WO_00205,APU_042,994.01,1320.57,1677.12,2671.13
COST_00206,WO_00206,APU_020,578.37,974.55,1578.77,2157.14
COST_00207,WO_00207,APU_014,525.9,1130.24,4080.17,4606.07
COST_00208,WO_00208,APU_002,666.3,622.48,2247.15,2913.45
COST_00209,WO_00209,APU_047,497.93,934.34,3372.97,3870.9
COST_00210,WO_00210,APU_029,1335.87,312.98,7079.61,8415.48
COST_00211,WO_00211,APU_020,635.68,906.35,3371.62,4007.3
COST_00212,WO_00212,APU_050,488.49,796.56,4046.52,4535.01
COST_00213,WO_00213,APU_006,765.13,1690.44,7759.12,8524.25
COST_00214,WO_00214,APU_038,688.37,644.38,2506.64,3195.01
COST_00215,WO_00215,APU_045,782.2,1427.69,3269.41,4051.61
COST_00216,WO_00216,APU_046,865.66,891.42,3681.56,4547.22
COST_00217,WO_00217,APU_036,615.3,369.71,658.08,1273.38
COST_00218,WO_00218,APU_034,663.72,1194.02,2853.71,3517.43
COST_00219,WO_00219,APU_002,305.48,1616.2,3361.7,3667.18
COST_00220,WO_00220,APU_014,342.3,1499.94,4259.83,4602.13
COST_00221,WO_00221,APU_031,1455.11,1770.18,17188.45,18643.56
COST_00222,WO_00222,APU_049,648.59,1521.42,1475.78,2124.37
COST_00223,WO_00223,APU_006,721.37,1341.77,5313.41,6034.78
COST_00224,WO_00224,APU_048,245.15,482.24,540.11,785.26
COST_00225,WO_00225,APU_042,361.17,1366.83,2870.34,3231.51
COST_00226,WO_00226,APU_049,369.42,550.5,2724.97,3094.39
COST_00227,WO_00227,APU_018,345.36,1118.91,3155.33,3500.69
COST_00228,WO_00228,APU_035,271.67,785.23,1177.85,1449.52
COST_00229,WO_00229,APU_028,679.38,1604.9,2936.97,3616.35
COST_00230,WO_00230,APU_008,523.34,1749.29,6909.7,7433.04
COST_00231,WO_00231,APU_020,335.36,1408.63,2563.71,2899.07
COST_00232,WO_00232,APU_020,672.53,1575.9,4822.25,5494.78
COST_00233,WO_00233,APU_008,475.05,1683.93,4698.16,5173.21
COST_00234,WO_00234,APU_008,348.82,625.38,1188.22,1537.04
COST_00235,WO_00235,APU_027,1025.7,857.13,7577.03,8602.73
COST_00236,WO_00236,APU_049,302.94,517.35,1991.8,2294.74
COST_00237,WO_00237,APU_024,270.81,720.28,641.05,911.86
COST_00238,WO_00238,APU_001,388.71,1623.72,4887.4,5276.11
COST_00239,WO_00239,APU_018,476.37,1593.8,3012.28,3488.65
COST_00240,WO_00240,APU_003,944.62,1298.69,5636.31,6580.93
COST_00241,WO_00241,APU_028,444.84,1333.57,2347.08,2791.92
COST_00242,WO_00242,APU_018,469.61,1338.61,3413.46,3883.07
COST_00243,WO_00243,APU_045,187.88,1112.83,3995.06,4182.94
COST_00244,WO_00244,APU_036,1005.19,495.28,2169.33,3174.52
COST_00245,WO_00245,APU_043,660.67,570.29,798.41,1459.08
COST_00246,WO_00246,APU_012,715.43,1182.97,2673.51,3388.94
COST_00247,WO_00247,APU_015,205.73,311.97,652.02,857.75
COST_00248,WO_00248,APU_040,136.06,1405.29,2670.05,2806.11
COST_00249,WO_00249,APU_018,451.37,450.47,3234.37,3685.74
COST_00250,WO_00250,APU_018,825.13,312.73,1063.28,1888.41
COST_00251,WO_00251,APU_038,252.63,979.25,1331.78,1584.41
COST_00252,WO_00252,APU_013,325.85,1580.64,7112.88,7438.73
COST_00253,WO_00253,APU_028,1188.29,1378.87,12037.54,13225.83
COST_00254,WO_00254,APU_044,713.42,564.71,2710.61,3424.03
COST_00255,WO_00255,APU_018,226.67,1058.33,1248.83,1475.5
COST_00256,WO_00256,APU_048,455.77,1052.57,2189.35,2645.12
COST_00257,WO_00257,APU_005,1164.67,907.24,4953.53,6118.2
COST_00258,WO_00258,APU_016,378.14,1584.71,2915.87,3294.01
COST_00259,WO_00259,APU_005,503.42,1581.4,5487.46,5990.88
COST_00260,WO_00260,APU_003,1057.65,582.42,2422.87,3480.52
COST_00261,WO_00261,APU_020,352.95,1126.39,1836.02,2188.97
COST_00262,WO_00262,APU_025,965.24,594.62,1563.85,2529.09
COST_00263,WO_00263,APU_025,711.51,443.38,221.69,933.2
COST_00264,WO_00264,APU_034,616.07,990.23,1534.86,2150.93
COST_00265,WO_00265,APU_037,291.46,762.34,1806.75,2098.21
COST_00266,WO_00266,APU_016,844.44,1637.79,2243.77,3088.21
COST_00267,WO_00267,APU_038,970.7,582.43,3884.81,4855.51
COST_00268,WO_00268,APU_001,466.94,867.98,1076.3,1543.24
COST_00269,WO_00269,APU_023,430.66,1108.73,2361.59,2792.25
COST_00270,WO_00270,APU_039,545.66,355.97,1039.43,1585.09
COST_00271,WO_00271,APU_030,1129.51,1769.31,10633.55,11763.06
COST_00272,WO_00272,APU_030,677.76,1714.16,2108.42,2786.18
COST_00273,WO_00273,APU_014,974.21,539.95,2780.74,3754.95
COST_00274,WO_00274,APU_010,640.4,1398.83,3818.81,4459.21
COST_00275,WO_00275,APU_002,198.73,945.93,1494.57,1693.3
COST_00276,WO_00276,APU_036,435.13,1572.27,5502.94,5938.07
COST_00277,WO_00277,APU_044,281.56,1600.08,4848.24,5129.8
COST_00278,WO_00278,APU_024,651.57,532.74,1038.84,1690.41
COST_00279,WO_00279,APU_008,590.49,1168.76,3295.9,3886.39
COST_00280,WO_00280,APU_039,589.83,1571.79,3457.94,4047.77
COST_00281,WO_00281,APU_021,1015.02,1349.22,3899.25,4914.27
COST_00282,WO_00282,APU_047,1052.66,1250.95,4891.21,5943.87
COST_00283,WO_00283,APU_034,830.78,1294.74,8415.81,9246.59
COST_00284,WO_00284,APU_031,235.56,1302.55,1797.52,2033.08
COST_00285,WO_00285,APU_026,1134.97,653.07,5740.49,6875.46
COST_00286,WO_00286,APU_036,626.93,1369.1,1273.26,1900.19
COST_00287,WO_00287,APU_030,893.15,1143.68,2859.2,3752.35
COST_00288,WO_00288,APU_021,338.32,520.47,1956.97,2295.29
COST_00289,WO_00289,APU_006,547.45,907.58,2877.03,3424.48
COST_00290,WO_00290,APU_007,903.71,1441.46,2782.02,3685.73
COST_00291,WO_00291,APU_017,720.94,390.22,944.33,1665.27
COST_00292,WO_00292,APU_050,233.88,1600.31,3312.64,3546.52
COST_00293,WO_00293,APU_031,380.8,1471.58,2899.01,3279.81
COST_00294,WO_00294,APU_015,1119.01,416.85,1809.13,2928.14
COST_00295,WO_00295,APU_050,931.3,1708.97,5656.69,6587.99
COST_00296,WO_00296,APU_009,561.65,735.84,1368.66,1930.31
COST_00297,WO_00297,APU_015,862.88,1390.4,6201.18,7064.06
COST_00298,WO_00298,APU_038,486.05,839.6,2703.51,3189.56
COST_00299,WO_00299,APU_025,515.22,653.02,2775.34,3290.56
COST_00300,WO_00300,APU_037,511.94,369.48,1418.8,1930.74
COST_00301,WO_00301,APU_045,227.02,418.16,719.24,946.26
COST_00302,WO_00302,APU_014,288.81,794.25,1588.5,1877.31
COST_00303,WO_00303,APU_021,826.23,392.12,1607.69,2433.92
COST_00304,WO_00304,APU_048,330.65,1747.72,6641.34,6971.99
COST_00305,WO_00305,APU_011,325.84,788.8,2121.87,2447.71
COST_00306,WO_00306,APU_001,494.53,1722.24,4994.5,5489.03
COST_00307,WO_00307,APU_037,580.88,492.31,2702.78,3283.66
COST_00308,WO_00308,APU_023,292.79,1630.44,3195.66,3488.45
COST_00309,WO_00309,APU_016,941.89,1012.33,3715.25,4657.14
COST_00310,WO_00310,APU_045,417.53,322.17,782.87,1200.4
COST_00311,WO_00311,APU_045,740.78,711.62,1715.0,2455.78
COST_00312,WO_00312,APU_005,660.91,555.6,2761.33,3422.24
COST_00313,WO_00313,APU_017,826.4,1027.08,4395.9,5222.3
COST_00314,WO_00314,APU_022,485.93,1073.07,4560.55,5046.48
COST_00315,WO_00315,APU_021,522.57,411.67,2293.0,2815.57
COST_00316,WO_00316,APU_009,435.5,330.54,908.99,1344.49
COST_00317,WO_00317,APU_019,633.82,938.48,3716.38,4350.2
COST_00318,WO_00318,APU_029,377.69,672.6,1540.25,1917.94
COST_00319,WO_00319,APU_045,346.82,1548.91,5033.96,5380.78
COST_00320,WO_00320,APU_004,330.29,310.26,784.96,1115.25
COST_00321,WO_00321,APU_006,793.68,518.78,1488.9,2282.58
COST_00322,WO_00322,APU_015,496.89,1252.81,4723.09,5219.98
COST_00323,WO_00323,APU_036,518.72,698.23,1207.94,1726.66
COST_00324,WO_00324,APU_015,814.86,1583.6,13603.12,14417.98
COST_00325,WO_00325,APU_025,244.82,1445.3,2254.67,2499.49
COST_00326,WO_00326,APU_005,389.59,1021.41,1419.76,1809.35
COST_00327,WO_00327,APU_017,916.12,1785.64,9178.19,10094.31
COST_00328,WO_00328,APU_012,1003.65,386.99,1625.36,2629.01
COST_00329,WO_00329,APU_033,545.77,1566.38,5999.24,6545.01
COST_00330,WO_00330,APU_040,723.42,1739.73,6680.56,7403.98
COST_00331,WO_00331,APU_004,392.95,564.13,1523.15,1916.1
COST_00332,WO_00332,APU_016,254.31,1282.88,2129.58,2383.89
COST_00333,WO_00333,APU_042,809.62,1582.7,4479.04,5288.66
COST_00334,WO_00334,APU_014,634.97,378.01,706.88,1341.85
COST_00335,WO_00335,APU_034,1009.7,709.99,3301.45,4311.15
COST_00336,WO_00336,APU_013,568.37,1449.27,3637.67,4206.04
COST_00337,WO_00337,APU_033,638.76,1053.56,1822.66,2461.42
COST_00338,WO_00338,APU_012,411.55,728.71,1661.46,2073.01
COST_00339,WO_00339,APU_031,372.31,1211.65,4131.73,4504.04
COST_00340,WO_00340,APU_049,879.5,1720.02,3422.84,4302.34
COST_00341,WO_00341,APU_039,663.47,1307.53,2262.03,2925.5
COST_00342,WO_00342,APU_025,386.2,1482.57,4610.79,4996.99
COST_00343,WO_00343,APU_013,298.32,1284.29,3994.14,4292.46
COST_00344,WO_00344,APU_026,391.56,1739.83,3584.05,3975.61
COST_00345,WO_00345,APU_003,346.78,693.56,1456.48,1803.26
COST_00346,WO_00346,APU_033,515.75,1734.48,5359.54,5875.29
COST_00347,WO_00347,APU_016,576.43,1676.11,2061.62,2638.05
COST_00348,WO_00348,APU_039,639.87,933.62,1167.03,1806.9
COST_00349,WO_00349,APU_008,824.96,1056.44,1933.29,2758.25
COST_00350,WO_00350,APU_028,719.68,1219.09,2950.2,3669.88
COST_00351,WO_00351,APU_047,989.04,1328.33,4290.51,5279.55
COST_00352,WO_00352,APU_018,708.28,995.69,6093.62,6801.9
COST_00353,WO_00353,APU_001,433.39,355.12,1548.32,1981.71
COST_00354,WO_00354,APU_012,327.54,1374.55,3422.63,3750.17
COST_00355,WO_00355,APU_037,675.04,1652.44,4445.06,5120.1
COST_00356,WO_00356,APU_027,903.76,1158.18,1818.34,2722.1
COST_00357,WO_00357,APU_005,188.53,577.06,1552.29,1740.82
COST_00358,WO_00358,APU_004,153.89,526.4,1221.25,1375.14
COST_00359,WO_00359,APU_039,450.83,617.89,2008.14,2458.97
COST_00360,WO_00360,APU_024,972.92,545.26,937.85,1910.77
COST_00361,WO_00361,APU_040,541.67,1098.39,3976.17,4517.84
COST_00362,WO_00362,APU_002,1064.92,1281.7,8100.34,9165.26
COST_00363,WO_00363,APU_029,442.48,940.3,2407.17,2849.65
COST_00364,WO_00364,APU_041,927.49,889.95,3016.93,3944.42
COST_00365,WO_00365,APU_048,325.96,1417.0,5625.49,5951.45
COST_00366,WO_00366,APU_047,201.21,982.62,2142.11,2343.32
COST_00367,WO_00367,APU_032,416.69,1028.44,3157.31,3574.0
COST_00368,WO_00368,APU_029,549.94,737.45,2020.61,2570.55
COST_00369,WO_00369,APU_028,394.54,1247.07,3579.09,3973.63
COST_00370,WO_00370,APU_015,640.61,1209.36,2152.66,2793.27
COST_00371,WO_00371,APU_006,578.7,1709.29,4717.64,5296.34
COST_00372,WO_00372,APU_025,1123.14,693.21,2474.76,3597.9
COST_00373,WO_00373,APU_006,1208.31,947.02,5720.0,6928.31
COST_00374,WO_00374,APU_009,1136.8,1029.8,4747.38,5884.18
COST_00375,WO_00375,APU_025,1093.99,749.46,6655.2,7749.19
COST_00376,WO_00376,APU_007,623.78,937.45,1668.66,2292.44
COST_00377,WO_00377,APU_032,559.14,469.59,2061.5,2620.64
COST_00378,WO_00378,APU_020,551.86,1367.96,4117.56,4669.42
COST_00379,WO_00379,APU_032,1538.51,1109.41,10051.25,11589.76
COST_00380,WO_00380,APU_045,630.02,997.34,1735.37,2365.39
COST_00381,WO_00381,APU_002,575.83,1611.91,2756.37,3332.2
COST_00382,WO_00382,APU_026,478.39,1632.29,3182.97,3661.36
COST_00383,WO_00383,APU_009,902.43,1665.24,1415.45,2317.88
COST_00384,WO_00384,APU_045,256.91,1170.3,2387.41,2644.32
COST_00385,WO_00385,APU_024,639.98,587.98,1052.48,1692.46
COST_00386,WO_00386,APU_007,393.41,476.47,1405.59,1799.0
COST_00387,WO_00387,APU_010,373.26,1147.92,3765.18,4138.44
COST_00388,WO_00388,APU_045,779.21,1349.2,10294.4,11073.61
COST_00389,WO_00389,APU_042,560.21,675.87,3095.48,3655.69
COST_00390,WO_00390,APU_032,748.73,341.91,676.98,1425.71
COST_00391,WO_00391,APU_045,932.51,325.62,540.53,1473.04
